T1,1a,1b,2a,2b,T2,3a,3b,3aB,3bB
108.361,25.627,-25.642,11.63,-11.64,108.361,13.952,-13.97,03.84,-03.907
108.362,25.627,-25.642,11.63,-11.641,108.362,13.952,-13.970,3.895,-3.909
108.361,25.627,-25.641,11.631,-11.641,108.361,13.453,-13.970,3.895,-3.91
108.377,25.628,-25.642,11.631,-11.641,108.362,13.952,-13.969,3.890,-3.913
108.360,25.6,-25.600,11.6,-11.58,108.800,13.840,-13.825,3.68,-3.66
105.8,24.97,-24.93,11.3,-11.27,104.7,43.44,-13.45,3.28,-3.29
103.45,24.47,-24.44,11.08,-11.04,102.4,13.16,-13.17,3,-3.015
101.4,23.98,-23.975,10.9,-10.86,100.6,12.93,-12.95,2.762,-2.77
99.6,23.61,-23.6,10.72,-10.69,98.8,12.72,-12.75,2.545,-2.56
97.9,23.42,-23.236,10.57,-10.515,97.1,12.5,-12.525,2.35,-2.34
96.2,2222.86,-22.86,10.405,-10.35,95.43,12.28,-12.3,2.1,-2.1
94.4,22.47,-22.46,10.23,-10.18,93.6,12.08,-12.1,1.86,-1.872
92.6,22.1,-22.09,10.07,-10.015,91.85,11.872,-11.89,1.64,-1.655
90.852,21.702,-21.688,09.88,-9.83,90,11.646,-11.66,1.39,-1.34
89,21.3,-21.305,9.715,-9.66,88.2,11.44,-11.45,1.17,-1.18
87.2,20.923,-20.92,9.55,-9.46,86.15,11.2,-11.215,.905,-0.9
85,45,-20.44,9.33,-9.27,84,10.95,-10.96,0.63,-0.64
83,20,2-20,9.13,-9.07,82,10.71,-10.72,0.38,-0.39
81,19.6,-19.58,8.94,-8.88,80,10.48,-10.5,0.13,-0.15
78.9,19.18,-19.19,8.77,-8.716,78.2,10.27,-10.3,-0.09,0.08
77,18.81,-18.81,8.6,-8.541,-76.25,10.06,-10.08,-0.325,0.315
75.25,18.42,-18.43,8.425,-8.36,74.4,9.84,-9.875,-0.54,0.535
73.4,18.0,-18.06,8.25,-8.185,72.4,9.63,-9.05,-0.8,0.78
71.3,17.6,-17.64,8.07,-8.0,70.3,9.4,-9.43,-1.035,1.03
69.25,17.24,-17.23,7.88,-7.83,68.35,9.21,-9.225,-1.26,1.255
67.3,16.865,-16.86,7.715,-7.66,66.417,9.0,-9.03,-1.5,1.495
75.25,16.49,-16.49,7.54,-7.48,64.25,8.79,-8.8,-1.76,1.75
63,16.09,-16.085,7.36,-7.31,62.25,8.59,-8.6,-1.97,1.99
60.6,15.65,-15.62,7.15,-7.09,59.6,8.35,-8.37,-2.24,2.245
58.82,15.56,-15.355,7.035,-6.95,58.0,8.2,-5.255,-2.44,2.445
57.02,15.06,-15.06,6.9,-6.847,56.25,8.05,-8.06,-2.65,2.645
55.4,14.77,-14.77,6.77,-6.72,54.5,7.88,-7.845,-2.85,2.845
53.5,14.45,-14.485,6.66,-6.6,52.7,7.73,-7.74,-3.045,3.049
51.76,14.23,-14.234,6.546,-6.49,51.04,7.592,-7.608,-3.21,3.215
50.3,14.035,-14.045,6.47,-6.415,49.8,7.44,-7.515,-3.35,3.36
48.5,13.8,-13.8,6.355,-6.290,47.8,7.34,-7.35,-3.6,3.58
45.7,13.55,-13.551,6.25,-6.19,45.9,7.22,-7.24,-3.77,3.76
45,13.36,-13.37,6.16,-6.1,44.2,7.11,-7.13,-4,3.99
42.7,13.12,-13.13,6.05,-6,41.7,6.98,-7,-4.18,4.17
40.5,12.94,-12.45,5.482,-5.92,34.5,6.88,-6.964,-4.4,4.4
38.5,12.78,-12.79,5.915,-5.85,37.3,6.79,-6.82,-4.625,4.630
36.1,12.65,-12.66,5.86,-5.8,35.15,6.741,-6.76,-4.85,4.84
33.5,12.574,-12.58,5.828,-5.772,32.4,6.707,-6.73,-5.1,5.095
30.9,12.57,-12.58,5.835,-5.78,29.4,6.719,-6.748,-5.276,5.260
28.8,12.625,-12.64,5.865,-5.812,28,6.76,-6.74,-5.431,5.416
26.8,12.74,-12.76,5.925,-5.88,26,6.83,-6.865,-5.55,5.545
25,12.9,-12.915,6,-5.965,24.3,6.94,-6.97,-5.66,5.66
23.2,13.15,-13.17,6.125,-6.095,22.35,7.085,-7.115,-5.76,5.757
21.15,13.5,-13.545,6.3,-6.29,20.15,7.35,-7.38,-5.84,5.833
18.7,14.1,-14.14,6.6,-6.57,17.9,7.66,-7.72,-5.86,5.846
16.6,14.86,-14.84,6.9,-6.864,16.86,7.9,-8.079,-5.815,5.866
15,15.45,-15.55,7.269,-7.247,14.3,8.45,-8.5,-5.717,5.7
13.4,16.3,-16.37,7.65,-7.035,12.85,8.862,-8.869,-5.635,5.63
12.8,16.611,-16.590,7.715,-7.635,12.73,8.925,-9.95,-5.587,5.57
12.2,17,-17.15,8,-7.675,11.4,9.44,-9.49,-5.31,5.28
10.5,18.46,-18.6,8.7,-8.015,9.7,10.29,-10.37,-4.84,4.78
8.7,20.5,-20.54,9.66,-8.725,7.75,11.5,-11.55,-4,3.4
6.7,23.4,-23.67,11.15,-9.73,5.75,13.5,-13.7,-2.4,2.25
4.9,27.7,-28.25,13.4,-11.29,3.38,16.8,-16.999,0.8,-1.0
3.1,35.6,-34.8,16.85,-13.49,2.7,20.3,-20,3.6,-3.8
2,45,-50,26.5,-16.98,1.35,33.444,-34.5,18.7,-18.99
1.25,65.9,-66.25,30.5,-30.6,1.233,36.7,-36.94,20.337,-20.37
1.22,46.7,-76.725,31.115,-31.145,1.208,37.39,-37.49,20.815,-20.866


