[s],CH4[V]
-2.0836E-02,2.1248396965E-02
-2.0832E-02,2.4909352312E-02
-2.0828E-02,2.4256466890E-02
-2.0824E-02,2.2884949739E-02
-2.0820E-02,2.3287509964E-02
-2.0816E-02,2.3449091000E-02
-2.0812E-02,1.9523967873E-02
-2.0808E-02,1.9342874661E-02
-2.0804E-02,2.3603095094E-02
-2.0800E-02,2.1884411889E-02
-2.0796E-02,2.1892856675E-02
-2.0792E-02,2.4242252375E-02
-2.0788E-02,2.2206062387E-02
-2.0784E-02,2.0891789536E-02
-2.0780E-02,1.8551301154E-02
-2.0776E-02,2.0342420690E-02
-2.0772E-02,1.9805025225E-02
-2.0768E-02,2.3396004720E-02
-2.0764E-02,1.9296645300E-02
-2.0760E-02,2.0701979741E-02
-2.0756E-02,1.9203089851E-02
-2.0752E-02,1.9462670458E-02
-2.0748E-02,2.0313991659E-02
-2.0744E-02,1.7906440901E-02
-2.0740E-02,1.9545668732E-02
-2.0736E-02,2.0638832198E-02
-2.0732E-02,2.2044958188E-02
-2.0728E-02,2.2707099020E-02
-2.0724E-02,1.9343203679E-02
-2.0720E-02,1.9636515745E-02
-2.0716E-02,2.4561199206E-02
-2.0712E-02,2.1871303636E-02
-2.0708E-02,2.4573120135E-02
-2.0704E-02,2.2185491633E-02
-2.0700E-02,2.4120654134E-02
-2.0696E-02,2.6084889395E-02
-2.0692E-02,2.4471014996E-02
-2.0688E-02,2.1613363349E-02
-2.0684E-02,2.1020855047E-02
-2.0680E-02,2.1271533104E-02
-2.0676E-02,2.5896047580E-02
-2.0672E-02,2.1655334555E-02
-2.0668E-02,2.0041045308E-02
-2.0664E-02,2.2638072074E-02
-2.0660E-02,2.4861353885E-02
-2.0656E-02,2.6062220557E-02
-2.0652E-02,2.3996924431E-02
-2.0648E-02,2.5226305964E-02
-2.0644E-02,2.6413868880E-02
-2.0640E-02,2.5715497962E-02
-2.0636E-02,2.4853109371E-02
-2.0632E-02,2.6292833307E-02
-2.0628E-02,2.4503091831E-02
-2.0624E-02,2.9001282610E-02
-2.0620E-02,2.7335142091E-02
-2.0616E-02,2.7369412377E-02
-2.0612E-02,3.0129937065E-02
-2.0608E-02,2.6140383703E-02
-2.0604E-02,2.4411047956E-02
-2.0600E-02,3.0771130441E-02
-2.0596E-02,2.8537525106E-02
-2.0592E-02,2.9058579362E-02
-2.0588E-02,2.8412937096E-02
-2.0584E-02,2.8247465069E-02
-2.0580E-02,3.0413469201E-02
-2.0576E-02,3.0730174898E-02
-2.0572E-02,3.3940099524E-02
-2.0568E-02,3.2883738349E-02
-2.0564E-02,3.0638178707E-02
-2.0560E-02,3.0762189744E-02
-2.0556E-02,3.1008166187E-02
-2.0552E-02,3.1739276743E-02
-2.0548E-02,3.5590838203E-02
-2.0544E-02,3.1432627542E-02
-2.0540E-02,3.3177889649E-02
-2.0536E-02,3.6136120555E-02
-2.0532E-02,3.4987200522E-02
-2.0528E-02,3.4586666854E-02
-2.0524E-02,3.9406303092E-02
-2.0520E-02,3.8082126333E-02
-2.0516E-02,3.8919829065E-02
-2.0512E-02,3.6818755847E-02
-2.0508E-02,3.5752962834E-02
-2.0504E-02,3.9984182031E-02
-2.0500E-02,4.0625375406E-02
-2.0496E-02,4.0240882541E-02
-2.0492E-02,4.0643757478E-02
-2.0488E-02,4.3657544680E-02
-2.0484E-02,4.0418194434E-02
-2.0480E-02,4.2859400358E-02
-2.0476E-02,4.3846973006E-02
-2.0472E-02,4.5618170285E-02
-2.0468E-02,4.4918812314E-02
-2.0464E-02,4.8310993635E-02
-2.0460E-02,5.0760401158E-02
-2.0456E-02,4.8990839430E-02
-2.0452E-02,5.1689384825E-02
-2.0448E-02,5.0757254033E-02
-2.0444E-02,5.1375168219E-02
-2.0440E-02,4.9953583167E-02
-2.0436E-02,5.1483186138E-02
-2.0432E-02,5.1155265231E-02
-2.0428E-02,5.4846647557E-02
-2.0424E-02,5.8147676688E-02
-2.0420E-02,5.6222894932E-02
-2.0416E-02,5.5336359307E-02
-2.0412E-02,5.6090772895E-02
-2.0408E-02,6.0714777156E-02
-2.0404E-02,5.8163188201E-02
-2.0400E-02,6.2664464116E-02
-2.0396E-02,6.3882868859E-02
-2.0392E-02,6.8474243154E-02
-2.0388E-02,6.4639332847E-02
-2.0384E-02,7.1622975269E-02
-2.0380E-02,7.0118172599E-02
-2.0376E-02,7.2108848480E-02
-2.0372E-02,7.5786679094E-02
-2.0368E-02,7.8200423967E-02
-2.0364E-02,7.5505574059E-02
-2.0360E-02,7.5858724419E-02
-2.0356E-02,7.9305637107E-02
-2.0352E-02,8.2231314341E-02
-2.0348E-02,8.8460791131E-02
-2.0344E-02,9.0379545666E-02
-2.0340E-02,9.2036640584E-02
-2.0336E-02,9.1260058837E-02
-2.0332E-02,9.4476644878E-02
-2.0328E-02,9.9322426096E-02
-2.0324E-02,1.0015380120E-01
-2.0320E-02,1.0624362669E-01
-2.0316E-02,1.0914212421E-01
-2.0312E-02,1.1010977460E-01
-2.0308E-02,1.1156463335E-01
-2.0304E-02,1.2095998455E-01
-2.0300E-02,1.2259496853E-01
-2.0296E-02,1.2146049189E-01
-2.0292E-02,1.2747749005E-01
-2.0288E-02,1.3425933022E-01
-2.0284E-02,1.3682962073E-01
-2.0280E-02,1.3877805838E-01
-2.0276E-02,1.4036429530E-01
-2.0272E-02,1.4770334352E-01
-2.0268E-02,1.4985067471E-01
-2.0264E-02,1.5524592491E-01
-2.0260E-02,1.5889772975E-01
-2.0256E-02,1.6852421822E-01
-2.0252E-02,1.7732536358E-01
-2.0248E-02,1.7525328683E-01
-2.0244E-02,1.8249269516E-01
-2.0240E-02,1.8606946014E-01
-2.0236E-02,1.9656887053E-01
-2.0232E-02,2.0059575071E-01
-2.0228E-02,2.0874944658E-01
-2.0224E-02,2.1386535605E-01
-2.0220E-02,2.2557336741E-01
-2.0216E-02,2.2896061824E-01
-2.0212E-02,2.3724174407E-01
-2.0208E-02,2.4841382386E-01
-2.0204E-02,2.5837045053E-01
-2.0200E-02,2.5972071028E-01
-2.0196E-02,2.7592712701E-01
-2.0192E-02,2.8723337446E-01
-2.0188E-02,2.9735412371E-01
-2.0184E-02,3.1064424259E-01
-2.0180E-02,3.1945845328E-01
-2.0176E-02,3.3006355463E-01
-2.0172E-02,3.4359201578E-01
-2.0168E-02,3.5336185580E-01
-2.0164E-02,3.6061592211E-01
-2.0160E-02,3.7928138800E-01
-2.0156E-02,3.9966921828E-01
-2.0152E-02,4.0160670298E-01
-2.0148E-02,4.1392687310E-01
-2.0144E-02,4.3449981633E-01
-2.0140E-02,4.4266041681E-01
-2.0136E-02,4.6161467912E-01
-2.0132E-02,4.7073065144E-01
-2.0128E-02,4.9026165781E-01
-2.0124E-02,5.0143656048E-01
-2.0120E-02,5.0798205155E-01
-2.0116E-02,5.1970768682E-01
-2.0112E-02,5.2964701860E-01
