[s],CH4[V]
-2.0836E-02,-8.7182285324E-03
-2.0832E-02,-7.3249866812E-03
-2.0828E-02,-8.0824806370E-03
-2.0824E-02,-4.4324162502E-03
-2.0820E-02,-4.4326355953E-03
-2.0816E-02,-7.7337505576E-03
-2.0812E-02,-1.0527238998E-02
-2.0808E-02,-4.8929598725E-03
-2.0804E-02,-8.7567283637E-03
-2.0800E-02,-6.5674259682E-03
-2.0796E-02,-3.6933711236E-03
-2.0792E-02,-3.0457261415E-03
-2.0788E-02,-4.3539574660E-03
-2.0784E-02,-8.3569194889E-03
-2.0780E-02,-1.0113821191E-02
-2.0776E-02,-8.0055858786E-03
-2.0772E-02,-6.8380310494E-03
-2.0768E-02,-8.4370805818E-03
-2.0764E-02,-5.2755835364E-03
-2.0760E-02,-7.9256298257E-03
-2.0756E-02,-5.1649191712E-03
-2.0752E-02,-7.3115112634E-03
-2.0748E-02,-6.5671255607E-03
-2.0744E-02,-5.0086787114E-03
-2.0740E-02,-8.8582040770E-03
-2.0736E-02,-6.0155584954E-03
-2.0732E-02,-1.0433631097E-02
-2.0728E-02,-8.1361391213E-03
-2.0724E-02,-8.8321115483E-03
-2.0720E-02,-3.3621791144E-03
-2.0716E-02,-9.4582750170E-03
-2.0712E-02,-5.6327679385E-03
-2.0708E-02,-6.6499521733E-03
-2.0704E-02,-8.3842947096E-03
-2.0700E-02,-5.0386622313E-03
-2.0696E-02,-6.7395021896E-03
-2.0692E-02,-4.1858676031E-03
-2.0688E-02,-8.7719060901E-03
-2.0684E-02,-7.4982073118E-03
-2.0680E-02,-7.5819828302E-03
-2.0676E-02,-7.1448233017E-03
-2.0672E-02,-6.3721230093E-03
-2.0668E-02,-7.5925876884E-03
-2.0664E-02,-6.4746000806E-03
-2.0660E-02,-8.0639412087E-03
-2.0656E-02,-5.6478979812E-03
-2.0652E-02,-6.3485815593E-03
-2.0648E-02,-5.3655913164E-03
-2.0644E-02,-5.7223894804E-03
-2.0640E-02,-1.0526228103E-02
-2.0636E-02,-6.9454815322E-03
-2.0632E-02,-5.3006508652E-03
-2.0628E-02,-5.2595904185E-03
-2.0624E-02,-5.4621460704E-03
-2.0620E-02,-7.8313495849E-03
-2.0616E-02,-6.2538149446E-03
-2.0612E-02,-5.9087040590E-03
-2.0608E-02,-5.7006361697E-03
-2.0604E-02,-7.9600622362E-03
-2.0600E-02,-8.9101173373E-03
-2.0596E-02,-6.0629227293E-03
-2.0592E-02,-5.4041912835E-03
-2.0588E-02,-5.0057604681E-03
-2.0584E-02,-3.5687926505E-03
-2.0580E-02,-5.8346035663E-03
-2.0576E-02,-1.0417313730E-02
-2.0572E-02,-4.0701487641E-03
-2.0568E-02,-6.5483906292E-03
-2.0564E-02,-3.5701134894E-03
-2.0560E-02,-4.8178484850E-03
-2.0556E-02,-8.4100153053E-03
-2.0552E-02,-7.6508238092E-03
-2.0548E-02,-3.8325932656E-03
-2.0544E-02,-9.7697498101E-03
-2.0540E-02,-4.0189889066E-03
-2.0536E-02,-4.5360186573E-03
-2.0532E-02,-6.1844494447E-03
-2.0528E-02,-9.2857982524E-03
-2.0524E-02,-2.3996976372E-03
-2.0520E-02,-7.2369720805E-03
-2.0516E-02,-3.5033467520E-03
-2.0512E-02,-5.7270958630E-03
-2.0508E-02,-3.5128119693E-03
-2.0504E-02,-7.4478199304E-03
-2.0500E-02,-7.8920461854E-03
-2.0496E-02,-5.6905319906E-03
