[s],CH4[V]
-2.0836E-02,6.8250062937E-02
-2.0832E-02,7.1780641472E-02
-2.0828E-02,7.0622957171E-02
-2.0824E-02,7.3126528626E-02
-2.0820E-02,7.3187682990E-02
-2.0816E-02,7.7310364515E-02
-2.0812E-02,7.8951332802E-02
-2.0808E-02,8.1333925903E-02
-2.0804E-02,8.0646465019E-02
-2.0800E-02,8.0270850861E-02
-2.0796E-02,8.4998581507E-02
-2.0792E-02,8.6418955392E-02
-2.0788E-02,8.6027824953E-02
-2.0784E-02,8.8515450973E-02
-2.0780E-02,9.1745674557E-02
-2.0776E-02,9.3508736994E-02
-2.0772E-02,9.5354773864E-02
-2.0768E-02,9.7831637670E-02
-2.0764E-02,9.9827172522E-02
-2.0760E-02,1.0326003282E-01
-2.0756E-02,1.0476633276E-01
-2.0752E-02,1.0431351867E-01
-2.0748E-02,1.0650994024E-01
-2.0744E-02,1.0766809661E-01
-2.0740E-02,1.1253129669E-01
-2.0736E-02,1.1668116270E-01
-2.0732E-02,1.1913129978E-01
-2.0728E-02,1.1750253376E-01
-2.0724E-02,1.2211731122E-01
-2.0720E-02,1.2523399034E-01
-2.0716E-02,1.2723377858E-01
-2.0712E-02,1.3163610125E-01
-2.0708E-02,1.3229962491E-01
-2.0704E-02,1.3450588364E-01
-2.0700E-02,1.4078267221E-01
-2.0696E-02,1.4027427321E-01
-2.0692E-02,1.4494930381E-01
-2.0688E-02,1.5060210806E-01
-2.0684E-02,1.5086124998E-01
-2.0680E-02,1.5407947634E-01
-2.0676E-02,1.6237565116E-01
-2.0672E-02,1.6580378123E-01
-2.0668E-02,1.6836689057E-01
-2.0664E-02,1.7038453636E-01
-2.0660E-02,1.7683126016E-01
-2.0656E-02,1.8001500165E-01
-2.0652E-02,1.8622442267E-01
-2.0648E-02,1.9195423612E-01
-2.0644E-02,1.9362593179E-01
-2.0640E-02,1.9977495662E-01
-2.0636E-02,2.0283648476E-01
-2.0632E-02,2.1094781842E-01
-2.0628E-02,2.1720800829E-01
-2.0624E-02,2.2377501903E-01
-2.0620E-02,2.2903161452E-01
-2.0616E-02,2.3494654092E-01
-2.0612E-02,2.3842545891E-01
-2.0608E-02,2.4770050410E-01
-2.0604E-02,2.5296675555E-01
-2.0600E-02,2.5850627283E-01
-2.0596E-02,2.6613361679E-01
-2.0592E-02,2.7266916581E-01
-2.0588E-02,2.8207948492E-01
-2.0584E-02,2.8765917573E-01
-2.0580E-02,2.9444806356E-01
-2.0576E-02,2.9891315707E-01
-2.0572E-02,3.0980053647E-01
-2.0568E-02,3.1811347212E-01
-2.0564E-02,3.2866221131E-01
-2.0560E-02,3.3604843303E-01
-2.0556E-02,3.4075745259E-01
-2.0552E-02,3.5131621490E-01
-2.0548E-02,3.6035461058E-01
-2.0544E-02,3.6942563146E-01
