I(mA),P(mW),T(C)
3.02,0.0043,1
6.03,0.011,1
9.01,0.0198,1
12.01,0.0351,1
13.02,0.0477,1
14.04,0.1192,1
14.21,0.216,1
14.42,0.438,1
14.6,0.636,1
14.81,0.857,1
15,1.079,1
15.5,1.63,1
16.02,2.19,1
18.02,4.35,1
20,6.51,1
25.03,11.94,1
30.04,17.3,1
35.02,22.5,1
0,0,2
3.01,0.004325,2
6.01,0.0108,2
9.02,0.0194,2
12.02,0.0331,2
12.22,0.0344,2
12.41,0.0365,2
14.01,0.0672,2
14.21,0.0818,2
14.4,0.1165,2
14.6,0.231,2
14.8,0.426,2
15.03,0.687,2
15.24,0.905,2
15.52,1.217,2
16.04,1.79,2
17.99,3.9,2
20.04,6.11,2
25.02,11.46,2
30,16.8,2
35.03,22,2
0,0,3
3.05,0.00428,3
6.03,0.0106,3
9,0.0188,3
12.07,0.032,3
13.02,0.0393,3
14.05,0.0552,3
14.54,0.0768,3
15,0.214,3
15.21,0.429,3
15.4,0.635,3
15.6,0.852,3
15.81,1.09,3
16.04,1.33,3
18.01,3.47,3
20.02,5.62,3
25.03,10.96,3
30.02,16.2,3
35.03,21.4,3
