Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.380e-03,-0.16,-0.18,-0.003,-0.007
-4.378e-03,-0.16,-0.12,-0.001,0.005
-4.376e-03,-0.16,-0.18,-0.001,-0.007
-4.374e-03,-0.16,-0.12,0.000999998,0.005
-4.372e-03,-0.16,-0.18,-0.001,-0.007
-4.370e-03,-0.16,-0.14,-0.003,0.005
-4.368e-03,-0.16,-0.18,-0.003,-0.007
-4.367e-03,-0.16,-0.12,-0.001,0.005
-4.365e-03,-0.16,-0.18,-0.001,-0.005
-4.363e-03,-0.16,-0.12,-0.001,0.007
-4.361e-03,-0.16,-0.2,0.000999998,-0.005
-4.359e-03,-0.16,-0.14,0.000999998,0.007
-4.357e-03,-0.16,-0.2,0.003,-0.005
-4.355e-03,-0.16,-0.14,0.000999998,0.007
-4.353e-03,-0.16,-0.2,0.003,-0.003
-4.351e-03,-0.16,-0.14,0.000999998,0.007
-4.349e-03,-0.16,-0.2,0.003,-0.003
-4.347e-03,-0.16,-0.14,0.005,0.009
-4.345e-03,-0.18,-0.2,0.003,-0.003
-4.344e-03,-0.16,-0.14,0.005,0.011
-4.342e-03,-0.16,-0.2,0.005,0.000999998
-4.340e-03,-0.16,-0.14,0.005,0.013
-4.338e-03,-0.16,-0.2,0.007,0.003
-4.336e-03,-0.16,-0.14,0.009,0.015
-4.334e-03,-0.16,-0.2,0.011,0.005
-4.332e-03,-0.16,-0.14,0.013,0.019
-4.330e-03,-0.16,-0.2,0.015,0.009
-4.328e-03,-0.16,-0.14,0.017,0.025
-4.326e-03,-0.16,-0.2,0.019,0.015
-4.324e-03,-0.18,-0.14,0.023,0.031
-4.322e-03,-0.18,-0.2,0.027,0.023
-4.320e-03,-0.16,-0.14,0.027,0.041
-4.319e-03,-0.18,-0.2,0.039,0.031
-4.317e-03,-0.18,-0.14,0.043,0.053
-4.315e-03,-0.16,-0.2,0.049,0.045
-4.313e-03,-0.18,-0.14,0.055,0.065
-4.311e-03,-0.18,-0.2,0.059,0.057
-4.309e-03,-0.16,-0.14,0.063,0.071
-4.307e-03,-0.18,-0.2,0.067,0.059
-4.305e-03,-0.16,-0.16,0.065,0.073
-4.303e-03,-0.18,-0.2,0.065,0.051
-4.301e-03,-0.16,-0.16,0.061,0.067
-4.299e-03,-0.16,-0.2,0.057,0.039
-4.297e-03,-0.16,-0.14,0.049,0.059
-4.296e-03,-0.18,-0.2,0.043,0.027
-4.294e-03,-0.18,-0.16,0.041,0.047
-4.292e-03,-0.18,-0.22,0.031,0.021
-4.290e-03,-0.18,-0.16,0.027,0.037
-4.288e-03,-0.18,-0.22,0.027,0.015
-4.286e-03,-0.18,-0.16,0.021,0.029
-4.284e-03,-0.18,-0.2,0.017,0.011
-4.282e-03,-0.18,-0.16,0.019,0.023
-4.280e-03,-0.18,-0.22,0.015,0.005
-4.278e-03,-0.18,-0.16,0.015,0.019
-4.276e-03,-0.18,-0.22,0.015,0.005
-4.274e-03,-0.18,-0.16,0.009,0.015
-4.272e-03,-0.18,-0.22,0.009,0.000999998
-4.271e-03,-0.18,-0.16,0.009,0.013
-4.269e-03,-0.2,-0.22,0.007,-0.001
-4.267e-03,-0.18,-0.16,0.005,0.013
-4.265e-03,-0.18,-0.22,0.007,-0.001
-4.263e-03,-0.18,-0.16,0.005,0.011
-4.261e-03,-0.18,-0.22,0.000999998,-0.003
-4.259e-03,-0.18,-0.16,0.005,0.009
-4.257e-03,-0.2,-0.22,0.000999998,-0.003
-4.255e-03,-0.18,-0.16,0.005,0.009
-4.253e-03,-0.2,-0.22,0.000999998,-0.005
-4.251e-03,-0.18,-0.16,-0.001,0.007
-4.249e-03,-0.18,-0.22,0.000999998,-0.005
-4.248e-03,-0.18,-0.16,-0.001,0.007
-4.246e-03,-0.2,-0.22,0.000999998,-0.005
-4.244e-03,-0.2,-0.16,0.000999998,0.005
-4.242e-03,-0.18,-0.22,0.003,-0.007
-4.240e-03,-0.18,-0.16,-0.003,0.005
-4.238e-03,-0.2,-0.22,-0.005,-0.005
-4.236e-03,-0.2,-0.16,0.000999998,0.005
-4.234e-03,-0.18,-0.22,-0.003,-0.007
-4.232e-03,-0.18,-0.16,-0.003,0.005
-4.230e-03,-0.18,-0.22,-0.003,-0.007
-4.228e-03,-0.2,-0.16,0.000999998,0.005
-4.226e-03,-0.2,-0.24,-0.003,-0.007
-4.224e-03,-0.2,-0.18,0.000999998,0.005
-4.223e-03,-0.22,-0.24,-0.001,-0.007
-4.221e-03,-0.2,-0.18,0.000999998,0.003
-4.219e-03,-0.2,-0.22,-0.001,-0.007
-4.217e-03,-0.2,-0.18,-0.001,0.005
-4.215e-03,-0.2,-0.24,-0.001,-0.009
-4.213e-03,-0.2,-0.18,-0.001,0.003
-4.211e-03,-0.2,-0.24,-0.005,-0.009
-4.209e-03,-0.2,-0.18,-0.003,0.003
-4.207e-03,-0.2,-0.24,-0.003,-0.009
-4.205e-03,-0.2,-0.18,-0.003,0.003
-4.203e-03,-0.2,-0.24,-0.003,-0.007
-4.201e-03,-0.2,-0.18,-0.005,0.003
-4.200e-03,-0.22,-0.24,-0.005,-0.009
-4.198e-03,-0.18,-0.18,-0.005,0.003
-4.196e-03,-0.2,-0.24,-0.005,-0.007
-4.194e-03,-0.2,-0.16,-0.003,0.003
-4.192e-03,-0.2,-0.24,-0.003,-0.009
-4.190e-03,-0.2,-0.18,-0.001,0.003
-4.188e-03,-0.2,-0.24,-0.003,-0.009
-4.186e-03,-0.2,-0.18,-0.005,0.003
-4.184e-03,-0.2,-0.24,-0.003,-0.009
-4.182e-03,-0.2,-0.18,-0.003,0.003
-4.180e-03,-0.22,-0.24,-0.005,-0.009
-4.178e-03,-0.2,-0.18,-0.003,0.003
-4.176e-03,-0.22,-0.24,-0.005,-0.009
-4.175e-03,-0.22,-0.18,-0.005,0.003
-4.173e-03,-0.22,-0.24,-0.003,-0.009
-4.171e-03,-0.22,-0.2,-0.003,0.003
-4.169e-03,-0.22,-0.24,-0.005,-0.009
-4.167e-03,-0.2,-0.2,0.000999998,0.000999998
-4.165e-03,-0.22,-0.24,-0.003,-0.009
-4.163e-03,-0.2,-0.18,-0.003,0.003
-4.161e-03,-0.2,-0.24,-0.001,-0.009
-4.159e-03,-0.22,-0.18,-0.003,0.003
-4.157e-03,-0.22,-0.24,-0.003,-0.009
-4.155e-03,-0.24,-0.2,-0.005,0.003
-4.153e-03,-0.2,-0.24,-0.003,-0.009
-4.152e-03,-0.22,-0.2,-0.003,0.003
-4.150e-03,-0.22,-0.24,-0.005,-0.009
-4.148e-03,-0.22,-0.2,-0.003,0.003
-4.146e-03,-0.22,-0.26,-0.005,-0.009
