Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.02,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.380e-03,-0.16,-0.18,-0.002,-0.006
-4.378e-03,-0.16,-0.12,-0.0028,0.006
-4.376e-03,-0.16,-0.18,0.002,-0.0052
-4.374e-03,-0.14,-0.12,0.002,0.0052
-4.372e-03,-0.16,-0.2,0.002,-0.0068
-4.370e-03,-0.16,-0.12,0.0012,0.006
-4.368e-03,-0.18,-0.2,-0.000400001,-0.006
-4.367e-03,-0.16,-0.14,0.002,0.006
-4.365e-03,-0.16,-0.18,0.000399999,-0.0044
-4.363e-03,-0.18,-0.14,-0.000400001,0.006
-4.361e-03,-0.16,-0.2,0.002,-0.0044
-4.359e-03,-0.18,-0.14,0.0012,0.0068
-4.357e-03,-0.16,-0.2,0.0012,-0.0044
-4.355e-03,-0.18,-0.14,0.000399999,0.006
-4.353e-03,-0.16,-0.2,0.0012,-0.0036
-4.351e-03,-0.16,-0.14,0.0012,0.0068
-4.349e-03,-0.16,-0.2,0.0036,-0.0036
-4.347e-03,-0.16,-0.14,0.002,0.0076
-4.345e-03,-0.18,-0.2,0.0036,-0.0028
-4.344e-03,-0.16,-0.14,0.0012,0.0068
-4.342e-03,-0.16,-0.2,0.0036,-0.002
-4.340e-03,-0.16,-0.14,0.0036,0.0092
-4.338e-03,-0.16,-0.2,0.0028,-0.000400001
-4.336e-03,-0.18,-0.14,0.0036,0.0092
-4.334e-03,-0.16,-0.2,0.0068,-0.000400001
-4.332e-03,-0.16,-0.14,0.0036,0.01
-4.330e-03,-0.16,-0.2,0.0052,0.0012
-4.328e-03,-0.16,-0.14,0.0068,0.0116
-4.326e-03,-0.18,-0.2,0.006,0.000399999
-4.324e-03,-0.18,-0.14,0.0052,0.0108
-4.322e-03,-0.18,-0.2,0.0044,0.000399999
-4.320e-03,-0.16,-0.14,0.0052,0.0116
-4.319e-03,-0.16,-0.2,0.0076,0.000399999
-4.317e-03,-0.16,-0.14,0.006,0.0116
-4.315e-03,-0.2,-0.2,0.0076,0.000399999
-4.313e-03,-0.18,-0.14,0.0084,0.01
-4.311e-03,-0.16,-0.2,0.0076,-0.002
-4.309e-03,-0.16,-0.14,0.0076,0.0116
-4.307e-03,-0.16,-0.2,0.0068,0.000399999
-4.305e-03,-0.18,-0.14,0.0052,0.0116
-4.303e-03,-0.18,-0.2,0.0076,0.000399999
-4.301e-03,-0.16,-0.16,0.0076,0.01
-4.299e-03,-0.18,-0.2,0.0068,0.000399999
-4.297e-03,-0.18,-0.16,0.002,0.0124
-4.296e-03,-0.16,-0.2,0.0036,0.0012
-4.294e-03,-0.18,-0.14,0.0036,0.0132
-4.292e-03,-0.18,-0.2,0.006,0.002
-4.290e-03,-0.16,-0.16,0.0068,0.0132
-4.288e-03,-0.18,-0.2,0.0084,0.0028
-4.286e-03,-0.18,-0.16,0.0108,0.014
-4.284e-03,-0.18,-0.22,0.0092,0.0036
-4.282e-03,-0.18,-0.16,0.0084,0.0148
-4.280e-03,-0.18,-0.2,0.0108,0.0044
-4.278e-03,-0.18,-0.14,0.0084,0.0164
-4.276e-03,-0.18,-0.2,0.0108,0.0068
-4.274e-03,-0.18,-0.16,0.0132,0.0164
-4.272e-03,-0.18,-0.22,0.0156,0.0068
-4.271e-03,-0.18,-0.16,0.014,0.018
-4.269e-03,-0.18,-0.22,0.0156,0.0092
-4.267e-03,-0.18,-0.16,0.0156,0.0188
-4.265e-03,-0.18,-0.22,0.0148,0.0108
-4.263e-03,-0.18,-0.16,0.0196,0.0212
-4.261e-03,-0.18,-0.22,0.0196,0.0132
-4.259e-03,-0.2,-0.16,0.0196,0.0252
-4.257e-03,-0.2,-0.22,0.0188,0.0156
-4.255e-03,-0.18,-0.16,0.0212,0.0284
-4.253e-03,-0.2,-0.22,0.0252,0.0188
-4.251e-03,-0.18,-0.16,0.0236,0.03
-4.249e-03,-0.18,-0.22,0.0308,0.0236
-4.248e-03,-0.2,-0.16,0.034,0.0364
-4.246e-03,-0.18,-0.22,0.0348,0.0284
-4.244e-03,-0.18,-0.16,0.0372,0.0396
-4.242e-03,-0.2,-0.22,0.0396,0.0324
-4.240e-03,-0.18,-0.16,0.0436,0.0468
-4.238e-03,-0.2,-0.22,0.0492,0.0404
-4.236e-03,-0.2,-0.16,0.05,0.0532
-4.234e-03,-0.18,-0.22,0.0508,0.0468
-4.232e-03,-0.2,-0.16,0.0588,0.062
-4.230e-03,-0.2,-0.22,0.0652,0.0564
-4.228e-03,-0.2,-0.16,0.0668,0.0716
-4.226e-03,-0.18,-0.22,0.074,0.0644
-4.224e-03,-0.2,-0.16,0.0732,0.078
-4.223e-03,-0.2,-0.24,0.0796,0.0708
-4.221e-03,-0.2,-0.18,0.0804,0.0852
-4.219e-03,-0.2,-0.22,0.0804,0.0756
-4.217e-03,-0.2,-0.18,0.0852,0.0876
-4.215e-03,-0.2,-0.22,0.082,0.0772
-4.213e-03,-0.18,-0.16,0.082,0.0876
-4.211e-03,-0.2,-0.24,0.0804,0.0732
-4.209e-03,-0.2,-0.18,0.078,0.086
-4.207e-03,-0.2,-0.24,0.074,0.0668
-4.205e-03,-0.2,-0.18,0.07,0.0796
-4.203e-03,-0.2,-0.22,0.0628,0.0572
-4.201e-03,-0.2,-0.18,0.0636,0.0732
-4.200e-03,-0.2,-0.24,0.0564,0.05
-4.198e-03,-0.2,-0.16,0.0548,0.066
-4.196e-03,-0.22,-0.24,0.0484,0.0428
-4.194e-03,-0.2,-0.18,0.046,0.058
-4.192e-03,-0.2,-0.24,0.0428,0.0356
-4.190e-03,-0.22,-0.18,0.038,0.0516
-4.188e-03,-0.2,-0.24,0.0372,0.03
-4.186e-03,-0.2,-0.18,0.03,0.0428
-4.184e-03,-0.2,-0.24,0.03,0.0244
-4.182e-03,-0.18,-0.18,0.0284,0.0364
-4.180e-03,-0.22,-0.24,0.0252,0.0204
-4.178e-03,-0.2,-0.18,0.0244,0.0316
-4.176e-03,-0.2,-0.24,0.0236,0.0156
-4.175e-03,-0.2,-0.18,0.0204,0.0292
-4.173e-03,-0.2,-0.24,0.0196,0.0148
-4.171e-03,-0.2,-0.18,0.018,0.026
-4.169e-03,-0.22,-0.24,0.018,0.01
-4.167e-03,-0.2,-0.18,0.0148,0.0228
-4.165e-03,-0.2,-0.24,0.014,0.0084
-4.163e-03,-0.22,-0.18,0.014,0.0196
-4.161e-03,-0.22,-0.24,0.014,0.0076
-4.159e-03,-0.2,-0.18,0.0124,0.0188
-4.157e-03,-0.22,-0.24,0.0108,0.006
-4.155e-03,-0.2,-0.18,0.0076,0.0156
-4.153e-03,-0.22,-0.24,0.0092,0.0036
-4.152e-03,-0.22,-0.18,0.0092,0.0156
