Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.380e-03,-0.12,-0.1,-0.006,0.002
-4.378e-03,-0.12,-0.16,-0.006,-0.012
-4.376e-03,-0.12,-0.1,-0.004,-4.76837e-10
-4.374e-03,-0.12,-0.16,-0.006,-0.01
-4.372e-03,-0.12,-0.1,-0.002,0.002
-4.370e-03,-0.12,-0.16,-0.008,-0.01
-4.368e-03,-0.14,-0.1,-0.004,0.002
-4.367e-03,-0.14,-0.16,-0.004,-0.01
-4.365e-03,-0.14,-0.1,-0.006,-4.76837e-10
-4.363e-03,-0.14,-0.16,-0.006,-0.01
-4.361e-03,-0.12,-0.1,-0.006,0.002
-4.359e-03,-0.14,-0.16,-0.004,-0.012
-4.357e-03,-0.14,-0.1,-0.004,0.002
-4.355e-03,-0.14,-0.16,-0.006,-0.01
-4.353e-03,-0.12,-0.1,-0.006,0.002
-4.351e-03,-0.14,-0.16,-0.004,-0.01
-4.349e-03,-0.14,-0.1,-0.004,-4.76837e-10
-4.347e-03,-0.12,-0.18,-0.002,-0.01
-4.345e-03,-0.14,-0.1,-0.002,-4.76837e-10
-4.344e-03,-0.12,-0.18,-0.004,-0.01
-4.342e-03,-0.12,-0.1,-0.004,-4.76837e-10
-4.340e-03,-0.14,-0.16,-0.004,-0.01
-4.338e-03,-0.12,-0.1,-0.004,-4.76837e-10
-4.336e-03,-0.16,-0.16,-0.002,-0.01
-4.334e-03,-0.14,-0.1,-0.004,0.002
-4.332e-03,-0.14,-0.18,-0.006,-0.012
-4.330e-03,-0.14,-0.12,-0.004,0.002
-4.328e-03,-0.16,-0.18,-0.006,-0.01
-4.326e-03,-0.14,-0.12,-0.004,0.002
-4.324e-03,-0.14,-0.18,-0.004,-0.01
-4.322e-03,-0.14,-0.12,-0.004,0.002
-4.320e-03,-0.14,-0.18,-0.006,-0.01
-4.319e-03,-0.14,-0.12,-0.006,0.002
-4.317e-03,-0.14,-0.18,-0.004,-0.01
-4.315e-03,-0.16,-0.12,-0.004,-4.76837e-10
-4.313e-03,-0.14,-0.18,-0.002,-0.01
-4.311e-03,-0.14,-0.12,-0.002,-4.76837e-10
-4.309e-03,-0.14,-0.18,-0.006,-0.01
-4.307e-03,-0.14,-0.12,-0.004,0.002
-4.305e-03,-0.14,-0.18,-0.006,-0.01
-4.303e-03,-0.14,-0.12,-0.006,0.002
-4.301e-03,-0.14,-0.18,-0.004,-0.01
-4.299e-03,-0.14,-0.12,-0.002,-4.76837e-10
-4.297e-03,-0.14,-0.18,-0.004,-0.01
-4.296e-03,-0.14,-0.12,-0.006,-4.76837e-10
-4.294e-03,-0.16,-0.18,-0.006,-0.01
-4.292e-03,-0.16,-0.12,-0.006,-4.76837e-10
-4.290e-03,-0.14,-0.18,-0.006,-0.01
-4.288e-03,-0.16,-0.12,-0.002,0.002
-4.286e-03,-0.14,-0.18,-0.004,-0.01
-4.284e-03,-0.14,-0.12,-0.004,0.002
-4.282e-03,-0.16,-0.18,-0.006,-0.01
-4.280e-03,-0.14,-0.12,-0.006,0.002
-4.278e-03,-0.16,-0.18,-0.006,-0.01
-4.276e-03,-0.14,-0.12,-0.006,-4.76837e-10
-4.274e-03,-0.16,-0.18,-0.006,-0.01
-4.272e-03,-0.16,-0.12,-0.004,0.002
-4.271e-03,-0.16,-0.18,-0.006,-0.01
-4.269e-03,-0.14,-0.12,-0.004,-4.76837e-10
-4.267e-03,-0.14,-0.18,-0.006,-0.01
-4.265e-03,-0.16,-0.12,-0.006,-4.76837e-10
-4.263e-03,-0.16,-0.18,-0.004,-0.01
-4.261e-03,-0.14,-0.14,-0.008,-4.76837e-10
-4.259e-03,-0.14,-0.18,-0.006,-0.01
-4.257e-03,-0.16,-0.12,-0.008,0.002
-4.255e-03,-0.16,-0.18,-0.004,-0.01
-4.253e-03,-0.16,-0.12,-0.004,0.002
-4.251e-03,-0.14,-0.2,-0.006,-0.01
-4.249e-03,-0.16,-0.12,-0.004,0.002
-4.248e-03,-0.16,-0.18,-0.004,-0.01
-4.246e-03,-0.16,-0.14,-0.004,0.002
-4.244e-03,-0.14,-0.18,-0.006,-0.01
-4.242e-03,-0.16,-0.12,-0.004,0.002
-4.240e-03,-0.16,-0.2,-0.01,-0.01
-4.238e-03,-0.16,-0.14,-4.76837e-10,0.002
-4.236e-03,-0.16,-0.2,-0.004,-0.012
-4.234e-03,-0.18,-0.14,-0.002,0.002
-4.232e-03,-0.16,-0.18,-0.006,-0.01
-4.230e-03,-0.16,-0.14,-0.004,0.002
-4.228e-03,-0.16,-0.18,-0.002,-0.01
-4.226e-03,-0.16,-0.14,-0.004,-4.76837e-10
-4.224e-03,-0.16,-0.18,-0.004,-0.01
-4.223e-03,-0.16,-0.14,-0.004,0.002
-4.221e-03,-0.16,-0.2,-0.006,-0.01
-4.219e-03,-0.16,-0.14,-0.006,-4.76837e-10
-4.217e-03,-0.18,-0.2,-0.004,-0.008
-4.215e-03,-0.16,-0.14,-0.004,0.002
-4.213e-03,-0.16,-0.2,-0.006,-0.01
-4.211e-03,-0.16,-0.14,-0.004,0.002
-4.209e-03,-0.16,-0.2,-0.008,-0.01
-4.207e-03,-0.16,-0.14,-0.006,0.002
-4.205e-03,-0.16,-0.2,-0.002,-0.01
-4.203e-03,-0.18,-0.14,-0.006,0.004
-4.201e-03,-0.16,-0.2,-0.006,-0.01
-4.200e-03,-0.16,-0.14,-0.006,0.002
-4.198e-03,-0.16,-0.2,-0.002,-0.01
-4.196e-03,-0.16,-0.14,-0.006,0.002
-4.194e-03,-0.16,-0.2,-0.002,-0.01
-4.192e-03,-0.16,-0.14,-0.006,0.002
-4.190e-03,-0.18,-0.2,-0.006,-0.01
-4.188e-03,-0.18,-0.14,-0.008,0.002
-4.186e-03,-0.16,-0.2,-0.006,-0.01
-4.184e-03,-0.16,-0.14,-0.006,0.002
-4.182e-03,-0.18,-0.2,-0.006,-0.01
-4.180e-03,-0.16,-0.14,-0.002,0.002
-4.178e-03,-0.16,-0.2,-0.002,-0.01
-4.176e-03,-0.16,-0.14,-0.006,0.002
-4.175e-03,-0.18,-0.2,-0.002,-0.01
-4.173e-03,-0.18,-0.14,-0.002,0.002
-4.171e-03,-0.16,-0.2,-0.004,-0.01
-4.169e-03,-0.16,-0.14,-0.008,-4.76837e-10
-4.167e-03,-0.18,-0.2,-0.006,-0.01
-4.165e-03,-0.16,-0.14,-0.006,0.002
-4.163e-03,-0.18,-0.2,-0.008,-0.01
-4.161e-03,-0.18,-0.16,-0.008,0.002
-4.159e-03,-0.18,-0.2,-0.006,-0.01
-4.157e-03,-0.18,-0.16,-0.006,-4.76837e-10
