Model,TBS2072B
Firmware Version,v1.32.136

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,8e-06,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.2
Label,,
TIME,CH1,CH2
-7.600e-03,1.78,0.064
-7.592e-03,1.78,0.064
-7.584e-03,1.76,0.064
-7.576e-03,1.74,0.064
-7.568e-03,1.74,0.064
-7.560e-03,1.72,0.064
-7.552e-03,1.72,0.064
-7.544e-03,1.7,0.056
-7.536e-03,1.7,0.064
-7.528e-03,1.68,0.064
-7.520e-03,1.66,0.064
-7.512e-03,1.66,0.072
-7.504e-03,1.64,0.072
-7.496e-03,1.64,0.072
-7.488e-03,1.62,0.072
-7.480e-03,1.62,0.064
-7.472e-03,1.6,0.072
-7.464e-03,1.6,0.072
-7.456e-03,1.58,0.072
-7.448e-03,1.56,0.072
-7.440e-03,1.56,0.072
-7.432e-03,1.54,0.072
-7.424e-03,1.54,0.072
-7.416e-03,1.52,0.08
-7.408e-03,1.52,0.08
-7.400e-03,1.5,0.08
-7.392e-03,1.5,0.08
-7.384e-03,1.48,0.08
-7.376e-03,1.48,0.08
-7.368e-03,1.46,0.08
-7.360e-03,1.46,0.08
-7.352e-03,1.44,0.08
-7.344e-03,1.44,0.08
-7.336e-03,1.42,0.088
-7.328e-03,1.4,0.088
-7.320e-03,1.4,0.088
-7.312e-03,1.4,0.088
-7.304e-03,1.38,0.088
-7.296e-03,1.38,0.088
-7.288e-03,1.36,0.088
-7.280e-03,1.36,0.088
-7.272e-03,1.34,0.096
-7.264e-03,1.32,0.096
-7.256e-03,1.32,0.088
-7.248e-03,1.32,0.096
-7.240e-03,1.3,0.096
-7.232e-03,1.28,0.096
-7.224e-03,1.28,0.096
-7.216e-03,1.26,0.096
-7.208e-03,1.26,0.096
-7.200e-03,1.24,0.096
-7.192e-03,1.24,0.096
-7.184e-03,1.22,0.096
-7.176e-03,1.22,0.096
-7.168e-03,1.22,0.096
-7.160e-03,1.2,0.096
-7.152e-03,1.18,0.104
-7.144e-03,1.18,0.104
-7.136e-03,1.18,0.104
-7.128e-03,1.16,0.104
-7.120e-03,1.14,0.104
-7.112e-03,1.14,0.104
-7.104e-03,1.14,0.104
-7.096e-03,1.12,0.104
-7.088e-03,1.1,0.104
-7.080e-03,1.12,0.112
-7.072e-03,1.1,0.112
-7.064e-03,1.1,0.112
-7.056e-03,1.08,0.112
-7.048e-03,1.06,0.112
-7.040e-03,1.06,0.112
-7.032e-03,1.06,0.112
-7.024e-03,1.06,0.104
-7.016e-03,1.04,0.112
-7.008e-03,1.02,0.112
-7.000e-03,1.02,0.112
-6.992e-03,1.02,0.112
-6.984e-03,1.02,0.112
-6.976e-03,0.98,0.12
-6.968e-03,0.98,0.12
-6.960e-03,0.98,0.12
-6.952e-03,0.98,0.12
-6.944e-03,0.96,0.112
-6.936e-03,0.96,0.12
-6.928e-03,0.96,0.12
-6.920e-03,0.96,0.12
-6.912e-03,0.94,0.12
-6.904e-03,0.94,0.12
-6.896e-03,0.94,0.12
-6.888e-03,0.92,0.12
-6.880e-03,0.92,0.12
-6.872e-03,0.92,0.12
-6.864e-03,0.9,0.12
-6.856e-03,0.9,0.12
-6.848e-03,0.88,0.12
-6.840e-03,0.9,0.12
-6.832e-03,0.88,0.12
-6.824e-03,0.9,0.112
-6.816e-03,0.88,0.112
-6.808e-03,0.88,0.112
-6.800e-03,0.88,0.112
-6.792e-03,0.88,0.112
-6.784e-03,0.9,0.112
-6.776e-03,0.88,0.112
-6.768e-03,0.88,0.112
-6.760e-03,0.88,0.104
-6.752e-03,0.88,0.112
-6.744e-03,0.88,0.104
-6.736e-03,0.9,0.112
-6.728e-03,0.88,0.112
-6.720e-03,0.9,0.104
-6.712e-03,0.9,0.104
-6.704e-03,0.9,0.104
-6.696e-03,0.9,0.104
-6.688e-03,0.9,0.096
-6.680e-03,0.92,0.104
-6.672e-03,0.9,0.104
-6.664e-03,0.9,0.104
-6.656e-03,0.92,0.104
-6.648e-03,0.92,0.096
-6.640e-03,0.92,0.096
-6.632e-03,0.94,0.096
-6.624e-03,0.94,0.096
-6.616e-03,0.94,0.096
-6.608e-03,0.94,0.096
-6.600e-03,0.96,0.096
-6.592e-03,0.96,0.096
-6.584e-03,0.96,0.096
-6.576e-03,0.96,0.088
-6.568e-03,0.98,0.096
-6.560e-03,0.96,0.088
-6.552e-03,0.98,0.088
-6.544e-03,1,0.088
-6.536e-03,1,0.088
-6.528e-03,1,0.088
-6.520e-03,1,0.088
-6.512e-03,1.02,0.08
-6.504e-03,1.02,0.088
-6.496e-03,1.04,0.088
-6.488e-03,1.04,0.088
-6.480e-03,1.04,0.088
-6.472e-03,1.04,0.088
-6.464e-03,1.06,0.08
-6.456e-03,1.06,0.08
-6.448e-03,1.08,0.08
-6.440e-03,1.08,0.08
-6.432e-03,1.1,0.08
-6.424e-03,1.1,0.08
-6.416e-03,1.12,0.08
-6.408e-03,1.12,0.08
-6.400e-03,1.12,0.08
-6.392e-03,1.14,0.08
-6.384e-03,1.14,0.08
-6.376e-03,1.14,0.08
-6.368e-03,1.16,0.072
-6.360e-03,1.16,0.072
-6.352e-03,1.18,0.072
-6.344e-03,1.18,0.072
-6.336e-03,1.18,0.072
-6.328e-03,1.2,0.072
-6.320e-03,1.22,0.072
-6.312e-03,1.22,0.072
-6.304e-03,1.22,0.072
-6.296e-03,1.24,0.072
-6.288e-03,1.24,0.072
-6.280e-03,1.24,0.072
-6.272e-03,1.26,0.072
-6.264e-03,1.28,0.064
-6.256e-03,1.28,0.064
-6.248e-03,1.3,0.064
-6.240e-03,1.3,0.064
-6.232e-03,1.3,0.064
-6.224e-03,1.32,0.064
-6.216e-03,1.32,0.064
-6.208e-03,1.34,0.064
-6.200e-03,1.34,0.064
-6.192e-03,1.36,0.064
-6.184e-03,1.38,0.064
-6.176e-03,1.38,0.056
-6.168e-03,1.38,0.064
-6.160e-03,1.4,0.056
-6.152e-03,1.4,0.056
-6.144e-03,1.42,0.056
-6.136e-03,1.42,0.056
-6.128e-03,1.44,0.048
-6.120e-03,1.44,0.056
-6.112e-03,1.46,0.056
-6.104e-03,1.46,0.056
-6.096e-03,1.48,0.048
-6.088e-03,1.48,0.048
-6.080e-03,1.48,0.056
-6.072e-03,1.5,0.048
-6.064e-03,1.52,0.048
-6.056e-03,1.52,0.048
-6.048e-03,1.54,0.048
-6.040e-03,1.54,0.048
-6.032e-03,1.56,0.048
-6.024e-03,1.56,0.048
-6.016e-03,1.58,0.04
-6.008e-03,1.58,0.048
-6.000e-03,1.6,0.04
-5.992e-03,1.6,0.04
-5.984e-03,1.62,0.048
-5.976e-03,1.64,0.048
-5.968e-03,1.64,0.04
-5.960e-03,1.64,0.04
-5.952e-03,1.66,0.04
-5.944e-03,1.66,0.032
-5.936e-03,1.68,0.04
-5.928e-03,1.68,0.04
-5.920e-03,1.7,0.04
-5.912e-03,1.72,0.04
