Spannung,Zählrate1,Zählrate2,Zählrate3
300, 0, 0, 0
305, 0, 0, 0
310, 0, 0, 0
311, 0, 0, 0
312, 4, 0, 2
313, 100, 134, 90
314, 434, 318, 470
315, 1050, 998, 1015
316, 1416, 1472, 1356
317, 1350, 1270, 1300
318, 1200, 1146, 1100
319, 1150, 1112, 1064
320, 1090, 1130, 1210
325, 1010, 950, 1002
330, 930, 1006, 994
335, 1018, 964, 984
340, 936, 1008, 1020
345, 1072, 1006, 998
350, 1014, 1006, 994
375, 1010, 998, 1054
400, 1088, 1046, 1036
425, 1032, 1044, 1008
450, 1098, 1014, 988
475, 1004, 1022, 1054
500, 982, 1012, 998
