XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	57
5.6	106
5.7	121
5.8	134
5.9	132
6.0	145
6.1	152
6.2	161
6.3	165
6.4	167
6.5	167
6.6	183
6.7	193
6.8	188
6.9	191
7.0	193
7.1	191
7.2	185
7.3	190
7.4	218
7.5	213
7.6	197
7.7	234
7.8	213
7.9	227
8.0	220
8.1	221
8.2	265
8.3	234
8.4	236
8.5	246
8.6	265
8.7	259
8.8	277
8.9	268
9.0	259
9.1	276
9.2	268
9.3	278
9.4	288
9.5	255
9.6	282
9.7	283
9.8	299
9.9	304
10.0	279
10.1	298
10.2	322
10.3	313
10.4	317
10.5	322
10.6	292
10.7	337
10.8	326
10.9	332
11.0	307
11.1	326
11.2	320
11.3	304
11.4	320
11.5	335
11.6	347
11.7	336
11.8	360
11.9	363
12.0	352
12.1	361
12.2	354
12.3	368
12.4	376
12.5	369
12.6	356
12.7	350
12.8	384
12.9	389
13.0	348
13.1	351
13.2	340
13.3	360
13.4	324
13.5	343
13.6	329
13.7	324
13.8	331
13.9	327
14.0	335
14.1	340
14.2	322
14.3	316
14.4	332
14.5	338
14.6	329
14.7	362
14.8	332
14.9	356
15.0	384
15.1	467
15.2	480
15.3	491
15.4	478
15.5	599
15.6	716
15.7	732
15.8	683
15.9	647
16.0	573
16.1	448
16.2	369
16.3	353
16.4	344
16.5	356
16.6	345
16.7	295
16.8	318
16.9	278
17.0	320
17.1	323
17.2	332
17.3	348
17.4	385
17.5	407
17.6	566
17.7	927
17.8	1193
17.9	1382
18.0	1500
18.1	1414
18.2	1531
18.3	1825
18.4	2205
18.5	2278
18.6	2197
18.7	1880
18.8	1291
18.9	795
19.0	603
19.1	454
19.2	422
19.3	384
19.4	355
19.5	366
19.6	388
19.7	363
19.8	356
19.9	336
20.0	353
20.1	326
20.2	348
20.3	349
20.4	348
20.5	372
20.6	379
20.7	388
20.8	383
20.9	340
21.0	383
21.1	687
21.2	1649
21.3	2728
21.4	3459
21.5	3563
21.6	3291
21.7	2214
21.8	828
21.9	434
22.0	289
22.1	260
22.2	249
22.3	232
22.4	242
22.5	224
22.6	220
22.7	207
22.8	186
22.9	173
23.0	189
23.1	180
23.2	212
23.3	181
23.4	178
23.5	158
23.6	172
23.7	166
23.8	154
23.9	151
24.0	158
24.1	136
24.2	155
24.3	171
24.4	174
24.5	210
24.6	212
24.7	187
24.8	181
24.9	121
25.0	115
25.1	91
25.2	108
25.3	109
25.4	95
25.5	90
25.6	92
25.7	83
25.8	96
25.9	76
26.0	73
26.1	83
26.2	80
26.3	64
26.4	63
26.5	71
26.6	76
26.7	68
26.8	59
26.9	62
27.0	48
27.1	47
27.2	47
27.3	52
27.4	49
27.5	43
27.6	37
27.7	44
27.8	32
27.9	40
28.0	34
28.1	41
28.2	41
28.3	33
28.4	41
28.5	29
28.6	37
28.7	25
28.8	40
28.9	35
29.0	30
29.1	30
29.2	31
29.3	27
29.4	29
29.5	22
29.6	27
29.7	28
29.8	19
29.9	24
30.0	21
30.1	15
30.2	21
30.3	22
30.4	17
30.5	26
30.6	21
30.7	23
30.8	23
30.9	23
31.0	18
31.1	28
31.2	18
31.3	20
31.4	17
31.5	15
31.6	19
31.7	18
31.8	26
31.9	25
32.0	23
32.1	22
32.2	20
32.3	14
32.4	21
32.5	20
32.6	17
32.7	18
32.8	20
32.9	28
33.0	29
33.1	47
33.2	45
33.3	17
33.4	16
33.5	14
33.6	12
33.7	20
33.8	8
33.9	22
34.0	17
34.1	18
34.2	14
34.3	14
34.4	14
34.5	14
34.6	12
34.7	15
34.8	13
34.9	15
35.0	11
35.1	10
35.2	12
35.3	9
35.4	8
35.5	11
