XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	10
5.6	13
5.7	11
5.8	12
5.9	8
6.0	7
6.1	7
6.2	6
6.3	9
6.4	10
6.5	10
6.6	8
6.7	6
6.8	13
6.9	12
7.0	8
7.1	6
7.2	7
7.3	5
7.4	10
7.5	6
7.6	6
7.7	7
7.8	6
7.9	8
8.0	5
8.1	6
8.2	5
8.3	5
8.4	4
8.5	9
8.6	7
8.7	6
8.8	6
8.9	5
9.0	2
9.1	7
9.2	3
9.3	5
9.4	7
9.5	4
9.6	5
9.7	6
9.8	7
9.9	5
10.0	3
10.1	4
10.2	4
10.3	2
10.4	4
10.5	4
10.6	3
10.7	4
10.8	5
10.9	4
11.0	5
11.1	3
11.2	3
11.3	5
11.4	1
11.5	3
11.6	5
11.7	6
11.8	3
11.9	3
12.0	5
12.1	2
12.2	3
12.3	3
12.4	3
12.5	3
12.6	2
12.7	1
12.8	2
12.9	3
13.0	2
13.1	2
13.2	2
13.3	3
13.4	3
13.5	4
13.6	7
13.7	0
13.8	3
13.9	5
14.0	3
14.1	3
14.2	0
14.3	1
14.4	1
14.5	2
14.6	0
14.7	1
14.8	5
14.9	4
15.0	3
15.1	5
15.2	1
15.3	5
15.4	3
15.5	4
15.6	2
15.7	4
15.8	3
15.9	3
16.0	6
16.1	3
16.2	1
16.3	2
16.4	3
16.5	2
16.6	3
16.7	4
16.8	1
16.9	3
17.0	2
17.1	2
17.2	3
17.3	4
17.4	2
17.5	2
17.6	6
17.7	1
17.8	2
17.9	1
18.0	0
18.1	0
18.2	2
18.3	3
18.4	1
18.5	2
18.6	1
18.7	2
18.8	0
18.9	2
19.0	1
19.1	1
19.2	1
19.3	2
19.4	0
19.5	0
19.6	1
19.7	1
19.8	1
19.9	0
20.0	1
20.1	0
20.2	1
20.3	3
