XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

10.0	286
10.5	289
11.0	295
11.5	334
12.0	302
12.5	329
13.0	317
13.5	280
14.0	289
14.5	310
15.0	373
15.5	544
16.0	416
16.5	262
17.0	260
17.5	352
18.0	1087
18.5	1687
19.0	399
19.5	254
20.0	229
20.5	252
21.0	267
21.5	2326
22.0	166
22.5	156
23.0	129
23.5	102
24.0	98
24.5	132
25.0	64
25.5	57
26.0	54
26.5	46
27.0	44
27.5	28
28.0	25
28.5	23
29.0	19
29.5	18
30.0	14
30.5	16
31.0	14
31.5	14
32.0	20
32.5	15
33.0	29
33.5	12
34.0	9
34.5	7
35.0	14
