XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

10.0	268
10.2	273
10.4	283
10.6	274
10.8	280
11.0	263
11.2	287
11.4	287
11.6	284
11.8	303
12.0	312
12.2	301
12.4	332
12.6	319
12.8	313
13.0	321
13.2	283
13.4	283
13.6	260
13.8	285
14.0	290
14.2	259
14.4	267
14.6	282
14.8	293
15.0	365
15.2	407
15.4	428
15.6	589
15.8	541
16.0	376
16.2	279
16.4	275
16.6	243
16.8	241
17.0	231
17.2	240
17.4	269
17.6	529
17.8	983
18.0	1038
18.5	1527
19.0	381
19.5	247
20.0	223
20.5	218
21.0	236
21.5	2076
22.0	159
22.5	132
23.0	107
23.5	108
24.0	97
24.5	108
25.0	67
25.5	59
26.0	46
26.5	48
27.0	38
27.5	35
28.0	25
28.5	22
29.0	23
29.5	17
30.0	15
30.5	15
31.0	18
31.5	16
32.0	22
32.5	15
33.0	31
33.5	15
34.0	13
34.5	17
35.0	11
