XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

5.5	85
5.6	73
5.7	86
5.8	97
5.9	95
6.0	113
6.1	112
6.2	120
6.3	116
6.4	117
6.5	127
6.6	119
6.7	112
6.8	115
6.9	124
7.0	121
7.1	131
7.2	126
7.3	116
7.4	116
7.5	114
7.6	125
7.7	125
7.8	108
7.9	138
8.0	115
8.1	117
8.2	127
8.3	135
8.4	130
8.5	125
8.6	104
8.7	135
8.8	111
8.9	110
9.0	133
9.1	127
9.2	133
9.3	140
9.4	125
9.5	124
9.6	122
9.7	122
9.8	124
9.9	121
10.0	119
10.1	102
10.2	122
10.3	104
10.4	122
10.5	109
10.6	124
10.7	107
10.8	100
10.9	108
11.0	103
11.1	107
11.2	90
11.3	88
11.4	101
11.5	109
11.6	91
11.7	99
11.8	92
11.9	86
12.0	90
12.1	92
12.2	83
12.3	76
12.4	85
12.5	81
12.6	74
12.7	90
12.8	83
12.9	71
13.0	76
13.1	81
13.2	81
13.3	70
13.4	67
13.5	72
13.6	59
13.7	63
13.8	61
13.9	65
14.0	56
14.1	53
14.2	50
14.3	58
14.4	59
14.5	53
14.6	60
14.7	45
14.8	48
14.9	55
15.0	55
15.1	68
15.2	53
15.3	58
15.4	66
15.5	69
15.6	64
15.7	69
15.8	74
15.9	59
16.0	55
16.1	58
16.2	35
16.3	45
16.4	49
16.5	44
16.6	41
16.7	33
16.8	37
16.9	33
17.0	38
17.1	40
17.2	40
17.3	36
17.4	34
17.5	36
17.6	59
17.7	51
17.8	70
17.9	77
18.0	72
18.1	68
18.2	77
18.3	111
18.4	91
18.5	94
18.6	89
18.7	69
18.8	48
18.9	45
19.0	37
19.1	33
19.2	38
19.3	37
19.4	27
19.5	33
19.6	38
19.7	40
19.8	57
19.9	72
20.0	96
20.1	130
20.2	140
20.3	146
20.4	150
20.5	150
20.6	163
20.7	142
20.8	141
20.9	137
21.0	178
21.1	380
21.2	844
21.3	1358
21.4	1613
21.5	1539
21.6	1234
21.7	553
21.8	208
21.9	119
22.0	103
22.1	79
22.2	83
22.3	74
22.4	77
22.5	75
22.6	62
22.7	70
22.8	60
22.9	56
23.0	57
23.1	48
23.2	60
23.3	43
23.4	48
23.5	46
23.6	41
23.7	51
23.8	50
23.9	43
24.0	53
24.1	43
24.2	43
24.3	55
24.4	45
24.5	51
24.6	59
24.7	46
24.8	33
24.9	30
25.0	25
25.1	30
25.2	30
25.3	24
25.4	26
25.5	18
25.6	22
25.7	19
25.8	18
25.9	27
26.0	16
26.1	17
26.2	16
26.3	17
26.4	12
26.5	16
26.6	13
26.7	13
26.8	18
26.9	16
27.0	13
27.1	7
27.2	13
27.3	9
27.4	7
27.5	10
27.6	9
27.7	7
27.8	12
27.9	11
28.0	8
28.1	9
28.2	11
28.3	7
28.4	9
28.5	6
28.6	9
28.7	8
28.8	5
28.9	9
29.0	7
29.1	5
29.2	7
29.3	9
29.4	6
29.5	3
29.6	3
29.7	4
29.8	4
29.9	7
30.0	4
30.1	6
30.2	4
30.3	8
