XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

10.0	128
10.1	110
10.2	108
10.3	123
10.4	111
10.5	98
10.6	110
10.7	114
10.8	111
10.9	105
11.0	105
11.1	111
11.2	101
11.3	96
11.4	97
11.5	107
11.6	106
11.7	95
11.8	92
11.9	88
12.0	96
12.1	87
12.2	100
12.3	90
12.4	88
12.5	89
12.6	82
12.7	73
12.8	87
12.9	75
13.0	90
13.1	78
13.2	75
13.3	70
13.4	55
13.5	70
13.6	60
13.7	68
13.8	62
13.9	61
14.0	56
14.1	54
14.2	57
14.3	46
14.4	59
14.5	51
14.6	65
14.7	57
14.8	58
14.9	53
15.0	61
15.1	56
15.2	58
15.3	61
15.4	65
15.5	71
15.6	70
15.7	75
15.8	63
15.9	63
16.0	55
16.1	50
16.2	40
16.3	47
16.4	40
16.5	44
16.6	43
16.7	39
16.8	40
16.9	35
17.0	29
17.1	46
17.2	48
17.3	33
17.4	42
17.5	36
17.6	46
17.7	52
17.8	65
17.9	80
18.0	78
18.1	61
18.2	79
18.3	79
18.4	81
18.5	98
18.6	77
18.7	67
18.8	54
18.9	54
19.0	31
19.1	33
19.2	31
19.3	33
19.4	29
19.5	34
19.6	39
19.7	39
19.8	29
19.9	35
20.0	34
20.1	28
20.2	33
20.3	28
20.4	37
20.5	29
20.6	32
20.7	33
20.8	25
20.9	37
21.0	39
21.1	46
21.2	57
21.3	95
21.4	133
21.5	147
21.6	150
21.7	147
21.8	119
21.9	128
22.0	88
22.1	85
22.2	79
22.3	77
22.4	86
22.5	79
22.6	72
22.7	67
22.8	66
22.9	59
23.0	50
23.1	62
23.2	51
23.3	55
23.4	50
23.5	49
23.6	51
23.7	44
23.8	43
23.9	48
24.0	43
24.1	42
24.2	47
24.3	49
24.4	48
24.5	56
24.6	52
24.7	36
24.8	38
24.9	30
25.0	25
25.1	25
25.2	27
25.3	19
25.4	32
25.5	19
25.6	23
25.7	25
25.8	22
25.9	21
26.0	17
26.1	13
26.2	18
26.3	16
26.4	17
26.5	9
26.6	17
26.7	12
26.8	15
26.9	16
27.0	15
27.1	13
27.2	17
27.3	15
27.4	15
27.5	10
27.6	7
27.7	15
27.8	8
27.9	4
28.0	8
28.1	14
28.2	7
28.3	5
