XRay (ID 01) / Kristallwinkel θ_c	XRay (ID 01) / Impulse Imp
θ_c/°	Imp/# / s

15.0	29
15.1	31
15.2	28
15.3	31
15.4	31
15.5	27
15.6	31
15.7	31
15.8	32
15.9	30
16.0	34
16.1	27
16.2	26
16.3	25
16.4	23
16.5	28
16.6	26
16.7	27
16.8	24
16.9	20
17.0	23
17.1	18
17.2	24
17.3	18
17.4	23
17.5	25
17.6	25
17.7	30
17.8	34
17.9	39
18.0	37
18.1	35
18.2	47
18.3	89
18.4	151
18.5	203
18.6	268
18.7	258
18.8	231
18.9	183
19.0	140
19.1	118
19.2	102
19.3	88
19.4	98
19.5	86
19.6	94
19.7	87
19.8	80
19.9	82
20.0	70
20.1	77
20.2	66
20.3	67
20.4	83
20.5	76
20.6	73
20.7	70
20.8	63
20.9	59
21.0	83
21.1	178
21.2	397
21.3	621
21.4	781
21.5	744
21.6	594
21.7	254
21.8	106
21.9	54
22.0	53
22.1	36
22.2	38
22.3	28
22.4	38
22.5	36
22.6	31
22.7	34
22.8	20
