mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Background.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0	0
0	0.0002	9.96675e-08
0	0.0004	0
0	0.0006	9.96675e-08
0	0.0008	9.96675e-08
0	0.001	2.99003e-07
0	0.0012	3.9867e-07
0	0.0014	9.96675e-08
0	0.0016	1.99335e-07
0	0.0018	1.99335e-07
0	0.002	2.99003e-07
0	0.0022	3.9867e-07
0	0.0024	1.99335e-07
0	0.0026	1.99335e-07
0	0.0028	0
0	0.003	1.99335e-07
0	0.0032	1.99335e-07
0	0.0034	9.96675e-08
0	0.0036	3.9867e-07
0	0.0038	2.99003e-07
0	0.004	1.99335e-07
0	0.0042	1.99335e-07
0	0.0044	3.9867e-07
0	0.0046	1.99335e-07
0	0.0048	9.96675e-08
0	0.005	3.9867e-07
0	0.0052	3.9867e-07
0	0.0054	1.99335e-07
0	0.0056	0
0	0.0058	1.99335e-07
0	0.006	1.99335e-07
0	0.0062	1.99335e-07
0	0.0064	0
0	0.0066	2.99003e-07
0	0.0068	2.99003e-07
0	0.007	9.96675e-08
0	0.0072	1.99335e-07
0	0.0074	9.96675e-08
0	0.0076	1.99335e-07
0	0.0078	1.99335e-07
0	0.008	2.99003e-07
0	0.0082	2.99003e-07
0	0.0084	9.96675e-08
0	0.0086	2.99003e-07
0	0.0088	1.99335e-07
0	0.009	3.9867e-07
0	0.0092	9.96675e-08
0	0.0094	3.9867e-07
0	0.0096	2.99003e-07
0	0.0098	9.96675e-08
0	0.01	1.99335e-07
0	0.0102	1.99335e-07
0	0.0104	9.96675e-08
0	0.0106	1.99335e-07
0	0.0108	0
0	0.011	9.96675e-08
0	0.0112	3.9867e-07
0	0.0114	3.9867e-07
0	0.0116	3.9867e-07
0	0.0118	2.99003e-07
0	0.012	1.99335e-07
0	0.0122	2.99003e-07
0	0.0124	0
0	0.0126	2.99003e-07
0	0.0128	1.99335e-07
0	0.013	0
0	0.0132	3.9867e-07
0	0.0134	5.98005e-07
0	0.0136	1.99335e-07
0	0.0138	1.99335e-07
0	0.014	2.99003e-07
0	0.0142	9.96675e-08
0	0.0144	9.96675e-08
0	0.0146	9.96675e-08
0	0.0148	9.96675e-08
0	0.015	0
0	0.0152	3.9867e-07
0	0.0154	2.99003e-07
0	0.0156	9.96675e-08
0	0.0158	2.99003e-07
0	0.016	0
0	0.0162	1.99335e-07
0	0.0164	1.99335e-07
0	0.0166	9.96675e-08
0	0.0168	1.99335e-07
0	0.017	2.99003e-07
0	0.0172	2.99003e-07
0	0.0174	2.99003e-07
0	0.0176	1.99335e-07
0	0.0178	3.9867e-07
0	0.018	9.96675e-08
0	0.0182	9.96675e-08
0	0.0184	2.99003e-07
0	0.0186	0
0	0.0188	9.96675e-08
0	0.019	1.99335e-07
0	0.0192	1.99335e-07
0	0.0194	3.9867e-07
0	0.0196	1.99335e-07
0	0.0198	1.99335e-07
0	0.02	3.9867e-07
0	0.0202	1.99335e-07
0	0.0204	9.96675e-08
0	0.0206	0
0	0.0208	0
0	0.021	9.96675e-08
0	0.0212	2.99003e-07
0	0.0214	4.98338e-07
0	0.0216	2.99003e-07
0	0.0218	1.99335e-07
0	0.022	0
0	0.0222	9.96675e-08
0	0.0224	0
0	0.0226	0
0	0.0228	1.99335e-07
0	0.023	1.99335e-07
0	0.0232	1.99335e-07
0	0.0234	2.99003e-07
0	0.0236	9.96675e-08
0	0.0238	9.96675e-08
0	0.024	9.96675e-08
0	0.0242	1.99335e-07
0	0.0244	4.98338e-07
0	0.0246	1.99335e-07
0	0.0248	6.97673e-07
0	0.025	9.96675e-08
0	0.0252	9.96675e-08
0	0.0254	9.96675e-08
0	0.0256	1.99335e-07
0	0.0258	1.99335e-07
0	0.026	2.99003e-07
0	0.0262	2.99003e-07
0	0.0264	1.99335e-07
0	0.0266	0
0	0.0268	9.96675e-08
0	0.027	2.99003e-07
0	0.0272	0
0	0.0274	1.99335e-07
0	0.0276	0
0	0.0278	1.99335e-07
0	0.028	2.99003e-07
0	0.0282	9.96675e-08
0	0.0284	1.99335e-07
0	0.0286	1.99335e-07
0	0.0288	2.99003e-07
0	0.029	3.9867e-07
0	0.0292	3.9867e-07
0	0.0294	0
0	0.0296	1.99335e-07
0	0.0298	9.96675e-08
0	0.03	3.9867e-07
0	0.0302	0
0	0.0304	1.99335e-07
0	0.0306	1.99335e-07
0	0.0308	1.99335e-07
0	0.031	0
0	0.0312	3.9867e-07
0	0.0314	9.96675e-08
0	0.0316	2.99003e-07
0	0.0318	1.99335e-07
0	0.032	2.99003e-07
0	0.0322	2.99003e-07
0	0.0324	9.96675e-08
0	0.0326	1.99335e-07
0	0.0328	0
0	0.033	9.96675e-08
0	0.0332	1.99335e-07
0	0.0334	2.99003e-07
0	0.0336	9.96675e-08
0	0.0338	1.99335e-07
0	0.034	9.96675e-08
0	0.0342	3.9867e-07
0	0.0344	0
0	0.0346	9.96675e-08
0	0.0348	9.96675e-08
0	0.035	9.96675e-08
0	0.0352	1.99335e-07
0	0.0354	0
0	0.0356	9.96675e-08
0	0.0358	0
0	0.036	1.99335e-07
0	0.0362	2.99003e-07
0	0.0364	2.99003e-07
0	0.0366	0
0	0.0368	9.96675e-08
0	0.037	9.96675e-08
0	0.0372	1.99335e-07
0	0.0374	0
0	0.0376	9.96675e-08
0	0.0378	9.96675e-08
0	0.038	5.98005e-07
0	0.0382	9.96675e-08
0	0.0384	9.96675e-08
0	0.0386	1.99335e-07
0	0.0388	1.99335e-07
0	0.039	2.99003e-07
0	0.0392	2.99003e-07
0	0.0394	3.9867e-07
0	0.0396	2.99003e-07
0	0.0398	3.9867e-07
0	0.04	2.99003e-07
0	0.0402	5.98005e-07
0	0.0404	3.9867e-07
0	0.0406	9.96675e-08
0	0.0408	9.96675e-08
0	0.041	1.99335e-07
0	0.0412	9.96675e-08
0	0.0414	0
0	0.0416	9.96675e-08
0	0.0418	9.96675e-08
0	0.042	0
0	0.0422	9.96675e-08
0	0.0424	9.96675e-08
0	0.0426	2.99003e-07
0	0.0428	2.99003e-07
0	0.043	9.96675e-08
0	0.0432	2.99003e-07
0	0.0434	9.96675e-08
0	0.0436	9.96675e-08
0	0.0438	9.96675e-08
0	0.044	0
0	0.0442	1.99335e-07
0	0.0444	0
0	0.0446	0
0	0.0448	9.96675e-08
0	0.045	1.99335e-07
0	0.0452	2.99003e-07
0	0.0454	2.99003e-07
0	0.0456	3.9867e-07
0	0.0458	1.99335e-07
0	0.046	1.99335e-07
0	0.0462	0
0	0.0464	2.99003e-07
0	0.0466	0
0	0.0468	2.99003e-07
0	0.047	1.99335e-07
0	0.0472	9.96675e-08
0	0.0474	0
0	0.0476	9.96675e-08
0	0.0478	3.9867e-07
0	0.048	1.99335e-07
0	0.0482	1.99335e-07
0	0.0484	9.96675e-08
0	0.0486	2.99003e-07
0	0.0488	3.9867e-07
0	0.049	0
0	0.0492	2.99003e-07
0	0.0494	2.99003e-07
0	0.0496	1.99335e-07
0	0.0498	0
0	0.05	4.98338e-07
0	0.0502	3.9867e-07
0	0.0504	1.99335e-07
0	0.0506	0
0	0.0508	9.96675e-08
0	0.051	1.99335e-07
0	0.0512	1.99335e-07
0	0.0514	9.96675e-08
0	0.0516	1.99335e-07
0	0.0518	1.99335e-07
0	0.052	2.99003e-07
0	0.0522	0
0	0.0524	1.99335e-07
0	0.0526	1.99335e-07
0	0.0528	4.98338e-07
0	0.053	9.96675e-08
0	0.0532	9.96675e-08
0	0.0534	9.96675e-08
0	0.0536	9.96675e-08
0	0.0538	2.99003e-07
0	0.054	2.99003e-07
0	0.0542	0
0	0.0544	1.99335e-07
0	0.0546	9.96675e-08
0	0.0548	2.99003e-07
0	0.055	3.9867e-07
0	0.0552	1.99335e-07
0	0.0554	0
0	0.0556	3.9867e-07
0	0.0558	9.96675e-08
0	0.056	1.99335e-07
0	0.0562	9.96675e-08
0	0.0564	9.96675e-08
0	0.0566	3.9867e-07
0	0.0568	9.96675e-08
0	0.057	2.99003e-07
0	0.0572	3.9867e-07
0	0.0574	1.99335e-07
0	0.0576	9.96675e-08
0	0.0578	2.99003e-07
0	0.058	1.99335e-07
0	0.0582	9.96675e-08
0	0.0584	1.99335e-07
0	0.0586	1.99335e-07
0	0.0588	9.96675e-08
0	0.059	1.99335e-07
0	0.0592	2.99003e-07
0	0.0594	9.96675e-08
0	0.0596	1.99335e-07
