mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0	2.77408e-07
0	0.0002	0
0	0.0004	0
0	0.0006	2.77408e-07
0	0.0008	2.77408e-07
0	0.001	2.77408e-07
0	0.0012	5.54816e-07
0	0.0014	0
0	0.0016	0
0	0.0018	0
0	0.002	0
0	0.0022	5.54816e-07
0	0.0024	5.54816e-07
0	0.0026	5.54816e-07
0	0.0028	1.10963e-06
0	0.003	2.77408e-07
0	0.0032	5.54816e-07
0	0.0034	2.77408e-07
0	0.0036	2.77408e-07
0	0.0038	1.10963e-06
0	0.004	0
0	0.0042	0
0	0.0044	2.77408e-07
0	0.0046	0
0	0.0048	0
0	0.005	2.77408e-07
0	0.0052	2.77408e-07
0	0.0054	0
0	0.0056	2.77408e-07
0	0.0058	2.77408e-07
0	0.006	0
0	0.0062	2.77408e-07
0	0.0064	2.77408e-07
0	0.0066	0
0	0.0068	5.54816e-07
0	0.007	0
0	0.0072	2.77408e-07
0	0.0074	8.32224e-07
0	0.0076	5.54816e-07
0	0.0078	1.10963e-06
0	0.008	2.77408e-07
0	0.0082	5.54816e-07
0	0.0084	5.54816e-07
0	0.0086	0
0	0.0088	0
0	0.009	0
0	0.0092	8.32224e-07
0	0.0094	0
0	0.0096	0
0	0.0098	5.54816e-07
0	0.01	2.77408e-07
0	0.0102	0
0	0.0104	2.77408e-07
0	0.0106	2.77408e-07
0	0.0108	2.77408e-07
0	0.011	2.77408e-07
0	0.0112	2.77408e-07
0	0.0114	5.54816e-07
0	0.0116	5.54816e-07
0	0.0118	2.77408e-07
0	0.012	5.54816e-07
0	0.0122	5.54816e-07
0	0.0124	0
0	0.0126	2.77408e-07
0	0.0128	0
0	0.013	2.77408e-07
0	0.0132	5.54816e-07
0	0.0134	2.77408e-07
0	0.0136	8.32224e-07
0	0.0138	1.10963e-06
0	0.014	2.77408e-07
0	0.0142	2.77408e-07
0	0.0144	8.32224e-07
0	0.0146	2.77408e-07
0	0.0148	2.77408e-07
0	0.015	5.54816e-07
0	0.0152	0
0	0.0154	2.77408e-07
0	0.0156	2.77408e-07
0	0.0158	0
0	0.016	8.32224e-07
0	0.0162	5.54816e-07
0	0.0164	0
0	0.0166	5.54816e-07
0	0.0168	2.77408e-07
0	0.017	0
0	0.0172	0
0	0.0174	5.54816e-07
0	0.0176	0
0	0.0178	0
0	0.018	8.32224e-07
0	0.0182	2.77408e-07
0	0.0184	2.77408e-07
0	0.0186	2.77408e-07
0	0.0188	2.77408e-07
0	0.019	2.77408e-07
0	0.0192	5.54816e-07
0	0.0194	2.77408e-07
0	0.0196	5.54816e-07
0	0.0198	0
0	0.02	5.54816e-07
0	0.0202	0
0	0.0204	5.54816e-07
0	0.0206	0
0	0.0208	0
0	0.021	0
0	0.0212	5.54816e-07
0	0.0214	5.54816e-07
0	0.0216	2.77408e-07
0	0.0218	5.54816e-07
0	0.022	2.77408e-07
0	0.0222	2.77408e-07
0	0.0224	5.54816e-07
0	0.0226	2.77408e-07
0	0.0228	0
0	0.023	0
0	0.0232	2.77408e-07
0	0.0234	2.77408e-07
0	0.0236	2.77408e-07
0	0.0238	2.77408e-07
0	0.024	2.77408e-07
0	0.0242	5.54816e-07
0	0.0244	0
0	0.0246	5.54816e-07
0	0.0248	2.77408e-07
0	0.025	2.77408e-07
0	0.0252	8.32224e-07
0	0.0254	2.77408e-07
0	0.0256	0
0	0.0258	2.77408e-07
0	0.026	2.77408e-07
0	0.0262	2.77408e-07
0	0.0264	5.54816e-07
0	0.0266	8.32224e-07
0	0.0268	2.77408e-07
0	0.027	2.77408e-07
0	0.0272	5.54816e-07
0	0.0274	0
0	0.0276	0
0	0.0278	5.54816e-07
0	0.028	0
0	0.0282	0
0	0.0284	2.77408e-07
0	0.0286	0
0	0.0288	2.77408e-07
0	0.029	0
0	0.0292	2.77408e-07
0	0.0294	0
0	0.0296	8.32224e-07
0	0.0298	8.32224e-07
0	0.03	0
0	0.0302	5.54816e-07
0	0.0304	2.77408e-07
0	0.0306	2.77408e-07
0	0.0308	2.77408e-07
0	0.031	5.54816e-07
0	0.0312	2.77408e-07
0	0.0314	8.32224e-07
0	0.0316	0
0	0.0318	8.32224e-07
0	0.032	2.77408e-07
0	0.0322	0
0	0.0324	5.54816e-07
0	0.0326	8.32224e-07
0	0.0328	0
0	0.033	8.32224e-07
0	0.0332	5.54816e-07
0	0.0334	0
0	0.0336	1.10963e-06
0	0.0338	0
0	0.034	5.54816e-07
0	0.0342	2.77408e-07
0	0.0344	2.77408e-07
0	0.0346	0
0	0.0348	5.54816e-07
0	0.035	0
0	0.0352	1.10963e-06
0	0.0354	0
0	0.0356	0
0	0.0358	0
0	0.036	0
0	0.0362	0
0	0.0364	2.77408e-07
0	0.0366	0
0	0.0368	0
0	0.037	5.54816e-07
0	0.0372	1.38704e-06
0	0.0374	5.54816e-07
0	0.0376	0
0	0.0378	0
0	0.038	2.77408e-07
0	0.0382	0
0	0.0384	8.32224e-07
0	0.0386	2.77408e-07
0	0.0388	2.77408e-07
0	0.039	0
0	0.0392	0
0	0.0394	5.54816e-07
0	0.0396	5.54816e-07
0	0.0398	2.77408e-07
0	0.04	2.77408e-07
0	0.0402	0
0	0.0404	2.77408e-07
0	0.0406	0
0	0.0408	5.54816e-07
0	0.041	5.54816e-07
0	0.0412	2.77408e-07
0	0.0414	8.32224e-07
0	0.0416	2.77408e-07
0	0.0418	0
0	0.042	0
0	0.0422	5.54816e-07
0	0.0424	5.54816e-07
0	0.0426	5.54816e-07
0	0.0428	2.77408e-07
0	0.043	0
0	0.0432	2.77408e-07
0	0.0434	8.32224e-07
0	0.0436	2.77408e-07
0	0.0438	2.77408e-07
0	0.044	2.77408e-07
0	0.0442	8.32224e-07
0	0.0444	2.77408e-07
0	0.0446	8.32224e-07
0	0.0448	0
0	0.045	5.54816e-07
0	0.0452	0
0	0.0454	5.54816e-07
0	0.0456	8.32224e-07
0	0.0458	5.54816e-07
0	0.046	8.32224e-07
0	0.0462	2.77408e-07
0	0.0464	2.77408e-07
0	0.0466	8.32224e-07
0	0.0468	8.32224e-07
0	0.047	8.32224e-07
0	0.0472	5.54816e-07
0	0.0474	0
0	0.0476	0
0	0.0478	2.77408e-07
0	0.048	2.77408e-07
0	0.0482	2.77408e-07
0	0.0484	0
0	0.0486	0
0	0.0488	5.54816e-07
0	0.049	0
0	0.0492	5.54816e-07
0	0.0494	2.77408e-07
0	0.0496	2.77408e-07
0	0.0498	2.77408e-07
0	0.05	5.54816e-07
0	0.0502	0
0	0.0504	1.10963e-06
0	0.0506	5.54816e-07
0	0.0508	8.32224e-07
0	0.051	2.77408e-07
0	0.0512	2.77408e-07
0	0.0514	0
0	0.0516	8.32224e-07
0	0.0518	2.77408e-07
0	0.052	5.54816e-07
0	0.0522	5.54816e-07
0	0.0524	2.77408e-07
0	0.0526	2.77408e-07
0	0.0528	2.77408e-07
0	0.053	0
0	0.0532	0
0	0.0534	0
0	0.0536	0
0	0.0538	2.77408e-07
0	0.054	2.77408e-07
0	0.0542	5.54816e-07
0	0.0544	0
0	0.0546	5.54816e-07
0	0.0548	0
0	0.055	0
0	0.0552	5.54816e-07
0	0.0554	0
0	0.0556	0
0	0.0558	2.77408e-07
0	0.056	2.77408e-07
0	0.0562	0
