Buf/Write profile
=================
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment: 1 of 1
Number of profiles (masses): 5
Profile length: 374 points (374.99 s)

index	time (s)	nominal2 mass 29	nominal2 mass 30	nominal2 mass 33	nominal2 mass 63	nominal2 mass 112
0	0	0.00163591	0.000430378	0.000693717	3.98278e-05	-0.000104028
1	1.0045	0.00180236	0.000164066	0.000227672	0.000172984	2.91278e-05
2	2.00974	0.00126973	0.000130777	0.000127805	0.000139695	-0.000104028
3	3.01475	0.0001712	0.000496956	-0.000205084	-6.0039e-05	0.000128995
4	4.01852	0.000970133	3.09106e-05	0.000227672	6.53883e-06	-0.000104028
5	5.02306	0.00130302	9.74885e-05	-0.000304951	0.000172984	0.000162284
6	6.02773	0.00140289	6.41995e-05	6.12274e-05	3.98278e-05	2.91278e-05
7	7.0335	-2.85351e-05	0.000197355	-0.000205084	-0.000193195	-7.0739e-05
8	8.0372	-0.00122694	0.000197355	0.000460695	-2.67501e-05	-4.16113e-06
9	9.04167	0.00143618	-0.000102245	-3.86393e-05	-0.000193195	2.91278e-05
10	10.0458	-0.000860758	0.000230644	0.000260961	0.000306139	-4.16113e-06
11	11.0517	0.0013696	-0.000168823	0.000194383	7.31168e-05	-3.74501e-05
12	12.0589	0.000237777	-0.000368557	0.000360828	6.53883e-06	2.91278e-05
13	13.0635	-6.18224e-05	-0.000468424	0.000327539	7.31168e-05	-3.74501e-05
14	14.0688	0.00140289	0.000197355	-0.00033824	-0.000159906	9.57057e-05
15	15.0745	-0.00049458	-0.000135534	0.00029425	6.53883e-06	6.24168e-05
16	16.0803	-0.000261558	0.0003638	-5.35037e-06	6.53883e-06	0.00026215
17	17.0848	0.000637245	-2.3784e-06	-0.000138506	-6.0039e-05	6.24168e-05
18	18.09	0.000470799	0.0003638	-0.000737707	-2.67501e-05	-0.000137317
19	19.096	0.0007704	3.09106e-05	9.45164e-05	7.31168e-05	-4.16113e-06
20	20.1001	-0.000960625	-3.56671e-05	-0.000238373	-2.67501e-05	0.000128995
21	21.1046	0.000703822	0.000130777	2.79385e-05	-6.0039e-05	-4.16113e-06
22	22.1101	0.000703822	-3.56671e-05	-0.000138506	7.31168e-05	2.91278e-05
23	23.1138	-0.000661024	-0.000168823	-0.000304951	0.000206273	-7.0739e-05
24	24.1195	-0.00139338	-3.56671e-05	-0.000471396	-0.000126617	2.91278e-05
25	25.1237	-0.000760892	-6.89561e-05	0.000360828	-0.000259773	-0.000104028
26	26.1277	0.000703822	-0.000235401	-0.000271662	0.000206273	2.91278e-05
27	27.1324	0.000970133	-0.000102245	-5.35037e-06	6.53883e-06	-7.0739e-05
28	28.1365	-0.000261558	-2.3784e-06	-0.000205084	3.98278e-05	9.57057e-05
29	29.1405	0.000970133	0.000230644	6.12274e-05	-0.000193195	-4.16113e-06
30	30.1484	-0.000261558	0.000563534	0.000360828	7.31168e-05	9.57057e-05
31	31.1522	0.000104622	-0.000102245	-5.35037e-06	-9.3328e-05	6.24168e-05
32	32.1579	-0.000328134	-2.3784e-06	0.000260961	-2.67501e-05	2.91278e-05
33	33.1606	-0.000860758	-0.00026869	-0.000371529	7.31168e-05	9.57057e-05
34	34.1658	-0.00126023	-0.000102245	-7.19283e-05	6.53883e-06	-3.74501e-05
35	35.1698	-0.00016169	-3.56671e-05	0.000593851	-2.67501e-05	-0.000104028
36	36.176	-0.000561157	9.74885e-05	-0.000138506	-2.67501e-05	2.91278e-05
37	37.1806	-0.000727603	0.000430378	-5.35037e-06	-9.3328e-05	-7.0739e-05
38	38.1864	0.000637245	0.000197355	-3.86393e-05	-2.67501e-05	-0.000137317
39	39.1932	-0.000128401	-0.000368557	-0.000138506	-0.000126617	9.57057e-05
40	40.1969	-0.000694313	-0.000235401	-0.000304951	0.000172984	-7.0739e-05
41	41.2024	-0.000428002	6.41995e-05	9.45164e-05	-0.000193195	-7.0739e-05
42	42.2072	0.000304355	-0.000368557	-0.000205084	0.000339428	2.91278e-05
43	43.2128	0.000137911	-0.00026869	-0.000238373	-6.0039e-05	-3.74501e-05
44	44.2189	0.000437512	-0.000168823	-7.19283e-05	-6.0039e-05	-0.000104028
45	45.225	-0.00169298	0.000197355	-0.00033824	-9.3328e-05	-0.000170606
46	46.2303	-0.000294847	0.000164066	2.79385e-05	-9.3328e-05	-3.74501e-05
47	47.236	-0.000760892	9.74885e-05	-0.000371529	-0.000159906	-3.74501e-05
48	48.24	-0.00152654	-0.000168823	0.00029425	0.000172984	0.000128995
49	49.2441	0.000204487	-0.000401846	0.00029425	6.53883e-06	-3.74501e-05
