Buf/Write profile
=================
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment: 1 of 1
Number of profiles (masses): 5
Profile length: 374 points (374.99 s)

index	time (s)	nominal2 mass 42	nominal2 mass 45	nominal2 mass 59	nominal2 mass 61	nominal2 mass 154
0	0	0.000599201	0.00126498	0.000798935	0.000332889	6.65779e-05
1	1.0045	0.000565912	0.000765646	0.000299601	0.000332889	0.000332889
2	2.00974	0.000565912	0.000998668	0.000565912	0.000399467	0.000199734
3	3.01475	0.00063249	0.000898802	0.000499334	0.000366178	9.98668e-05
4	4.01852	0.000399467	0.000898802	0.000565912	0.000532623	0.000133156
5	5.02306	0.000399467	0.00103196	0.000699068	0.000133156	9.98668e-05
6	6.02773	0.000798935	0.000865513	0.00063249	0.000133156	0.000133156
7	7.0335	0.000898802	0.00113182	0.000499334	0.000133156	6.65779e-05
8	8.0372	0.000432756	0.000932091	0.000565912	0.000332889	0.000166445
9	9.04167	0.000532623	0.000565912	0.00063249	0.000166445	0.000266312
10	10.0458	0.00109854	0.00109854	0.000399467	0.000266312	0.000133156
11	11.0517	0.000532623	0.00123169	0.00063249	0.000199734	0.000133156
12	12.0589	0.000399467	0.00106525	0.000332889	0.000299601	0.000266312
13	13.0635	0.000599201	0.000865513	0.000466045	0.000399467	0.000199734
14	14.0688	0.000699068	0.00109854	0.000499334	0.000299601	0.000199734
15	15.0745	0.000665779	0.000865513	0.000599201	0.000399467	9.98668e-05
16	16.0803	0.000432756	0.00116511	0.000499334	0.000233023	0.000233023
17	17.0848	0.000565912	0.00113182	0.000432756	0.000432756	0.000332889
18	18.09	0.000565912	0.000865513	0.000532623	0.000466045	9.98668e-05
19	19.096	0.000665779	0.00126498	0.000399467	0.000332889	0.000233023
20	20.1001	0.000732357	0.00123169	0.000366178	0.000233023	6.65779e-05
21	21.1046	0.000599201	0.00116511	0.00063249	0.000332889	0.000133156
22	22.1101	0.000665779	0.00103196	0.000565912	0.000166445	9.98668e-05
23	23.1138	0.000532623	0.00116511	0.000565912	0.000432756	0.000166445
24	24.1195	0.000299601	0.00113182	0.000466045	0.000233023	0.000166445
25	25.1237	0.000532623	0.000965379	0.000732357	0.000266312	0.000133156
26	26.1277	0.000665779	0.00109854	0.000832224	0.000299601	0.000166445
27	27.1324	0.000832224	0.00129827	0.000565912	0.000233023	0.000166445
28	28.1365	0.000565912	0.00113182	0.000432756	0.000532623	6.65779e-05
29	29.1405	0.000665779	0.000865513	0.000699068	0.000166445	0.000166445
30	30.1484	0.000665779	0.00103196	0.000466045	0.000266312	0.000133156
31	31.1522	0.000865513	0.00109854	0.000466045	0.000299601	0.000133156
32	32.1579	0.000599201	0.00103196	0.000932091	0.000366178	9.98668e-05
33	33.1606	0.000665779	0.00113182	0.000499334	0.000166445	0.000133156
