mass spectrum
=============
Data source: C:\users\taco\Documents\fp1\07_Massenspektroskopie\data\Ex3.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 110
Write end index: 161
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0	0
0	0.0002	1.29277e-06
0	0.0004	0
0	0.0006	6.46387e-07
0	0.0008	3.23194e-07
0	0.001	3.23194e-07
0	0.0012	0
0	0.0014	0
0	0.0016	9.69581e-07
0	0.0018	0
0	0.002	9.69581e-07
0	0.0022	3.23194e-07
0	0.0024	6.46387e-07
0	0.0026	0
0	0.0028	0
0	0.003	3.23194e-07
0	0.0032	0
0	0.0034	3.23194e-07
0	0.0036	0
0	0.0038	3.23194e-07
0	0.004	3.23194e-07
0	0.0042	0
0	0.0044	3.23194e-07
0	0.0046	0
0	0.0048	0
0	0.005	0
0	0.0052	3.23194e-07
0	0.0054	9.69581e-07
0	0.0056	0
0	0.0058	6.46387e-07
0	0.006	0
0	0.0062	6.46387e-07
0	0.0064	9.69581e-07
0	0.0066	0
0	0.0068	3.23194e-07
0	0.007	0
0	0.0072	3.23194e-07
0	0.0074	0
0	0.0076	0
0	0.0078	3.23194e-07
0	0.008	9.69581e-07
0	0.0082	0
0	0.0084	3.23194e-07
0	0.0086	3.23194e-07
0	0.0088	0
0	0.009	3.23194e-07
0	0.0092	0
0	0.0094	9.69581e-07
0	0.0096	3.23194e-07
0	0.0098	0
0	0.01	3.23194e-07
0	0.0102	3.23194e-07
0	0.0104	0
0	0.0106	3.23194e-07
0	0.0108	0
0	0.011	3.23194e-07
0	0.0112	3.23194e-07
0	0.0114	0
0	0.0116	3.23194e-07
0	0.0118	6.46387e-07
0	0.012	3.23194e-07
0	0.0122	0
0	0.0124	3.23194e-07
0	0.0126	6.46387e-07
0	0.0128	3.23194e-07
0	0.013	9.69581e-07
0	0.0132	6.46387e-07
0	0.0134	0
0	0.0136	3.23194e-07
0	0.0138	6.46387e-07
0	0.014	0
0	0.0142	0
0	0.0144	3.23194e-07
0	0.0146	3.23194e-07
0	0.0148	0
0	0.015	1.61597e-06
0	0.0152	3.23194e-07
0	0.0154	3.23194e-07
0	0.0156	3.23194e-07
